start_time,end_time,lyrics_line
32.34,34.08,Through days of thunders
34.18,40.06,Continuing stolid smiles to wear
40.53,42.39,We're going on
42.85,47.06,We nearly carried it to the end
47.35,49.09,And every whisper
49.09,55.05,And every beat of windy heart
55.29,57.25,We're holding on
57.61,64.41,For the moment when we unite
64.45,65.9,No face
65.92,69.62,Is seen at dusk of a raining day
69.62,71.35,No name
71.46,75.61,Is spoken in a loud voice
75.62,77.47,Still still
77.47,80.46,One day it all
80.46,84.85,will gone forever  will gone forever
84.85,87.62,Don’t close your eyes
87.62,92.24,you’ll gone forever  you’ll gone forever
95.18,96.85,Just reach the border
97.01,102.85,To throw your past and go ahead
103.26,105.16,Hey  light your heart
105.43,110.82,as we’re led by a winding thread
112.32,114.13,No face
114.14,117.61,Is seen at dusk of a raining day
117.61,119.35,No name
119.35,123.38,Is spoken with the loud voice
123.61,125.41,Still still
125.45,128.25,One day it all
128.46,132.85,will gone forever  will gone forever
132.85,135.74,Don’t close your eyes
135.74,140.25,you’ll gone forever  you’ll gone forever
169.06,179.15,And we are one  so I promise
189.26,193.03,One day it all
193.37,199.35,will gone forever  will gone forever
199.83,203.48,Don’t close your eyes
203.48,209.46,you’ll gone forever  you’ll gone forever
209.46,213.41,There’s no more pain
213.42,216.29,Which lasts forever
216.29,219.59,And never severs
219.74,223.52,Once in the end
223.69,226.05,The flame was rendered
226.2,228.91,But living embers
229.05,230.64,Will burn
