start_time,end_time,lyrics_line
19.57,23.6,Yeah oh
25.64,28.87,Please don't stand over here
28.87,31.89,Act like you care so self-aware
32.15,35.16,I know you were not scared
35.35,39.25,I could've died  but that isn't fair huh?
39.86,42.28,But what am I supposed to think?
42.8,44.99,You weren't there for me
46.26,49.95,Cause I'm not who I should be for you
50.76,53.89,You've got a record and a past
54.14,56.86,Guess that's what makes me the ass
57.18,60.14,I should've known  I should've cared
60.48,62.93,How could I have been so unprepared?
62.96,69.79,Now where does the good boy go to hide away hide the pain?
70.27,74.7,Cause you won't see me cry when I'm done
76.94,82.61,What is it that you want from me want from me?
83.24,88.79,What is it that you want from me want from me?
88.95,93.8,I want you to feel  I want you to feel
95.33,100.2,I want you to feel  I want you to feel
105.39,107.25,I'm a feather in the wind
108.91,111.88,Carried away by all that you say
111.98,115.75,Sitting on thin air
118.24,121.12,I'm a loss to my friends
121.7,124.73,Too unpersuaded by all they're saying
124.74,130.55,And you can't pretend to care  yeah
130.56,133.92,Yeah. I was reckless in the past
134.17,136.66,I was see-through just like glass
137.14,140.11,Did all I could to make this last
140.3,142.83,So how could you be such an ass?
143.01,149.49,I know where the good boys go to hide the pain hide the pain
149.49,155.87,But that don't mean I die when you don't
156.93,162.54,What is it that you want from me want from me?
163.34,168.66,What is it that you want from me want from me?
168.96,173.77,I want you to feel I want you to feel
175.24,180.6,I want you to feel I want you to feel
182.54,188.2,What is it that you want from me want from me?
188.72,194.45,What is it that you want from me want from me?
194.51,199.76,I want you to feel  I want you to feel
200.86,207.38,I want you to feel  I want you to feel
208.18,213.53,...good boys go to hide the pain hide the pain
213.53,218.48,Cause you won't see me cry when I'm done
219.76,226.24,I know where the good boys go to hide the pain  hide the pain
226.24,228.24,But that don't mean I die when you don't…
