start_time,end_time,lyrics_line
19.99,21.76,People gonna hate let them do it
21.78,23.32,shine like it ain’t nothing to it
23.58,25.39,Damn you a major influence
25.39,27.01,skate like there ain’t nothing doing
27.01,29.04,Live life don’t say nothing to them
29.59,31.17,People gonna hate let them do it
31.36,32.93,shine like it ain’t nothing to it
33.19,34.99,Damn you a major influence
35.0,36.54,skate like there ain’t nothing doing
36.55,38.64,Live life don’t say nothing to them
39.24,40.86,People telling lies on me
41.02,41.98,Feeling like Pac
42.06,43.22,All eyes on me
43.42,44.36,Whats my next rhyme
44.36,45.01,Gonna be
45.2,46.77,Dull mother fuckers can’t never ever
46.96,48.22,Shine off me?
48.54,49.35,Wait for it
49.37,49.98,Wait for it
49.99,50.76,Wait for it
50.99,53.04,Don’t worry the My haters is gonna pay for it
53.32,55.56,chase dreams dumb Niggas chase whores
55.81,57.59,over sea’s On a great tour
57.59,59.59,Or maybe I’m just dreaming
59.95,61.57,It beats being with demons or
61.52,64.39,A nigga scheming or At least im thinking of an achievement
64.4,66.18,People talk shit for 4 seasons
66.18,67.12,For no reason
67.43,69.52,people dog lebron until lebron show up
69.77,71.9,when he step on the paint then their guards go up
71.9,74.29,scores up all the applauds go up
74.29,77.33,and everybody in the whole damn court goes nuts
77.59,79.37,People gonna hate let them do it
79.37,80.93,shine like it ain’t nothing to it
81.18,82.98,Damn you a major influence
82.98,84.6,skate like there ain’t nothing doing
84.6,86.6,Live life don’t say nothing to them
86.6,88.6,People gonna hate let them do it
88.96,90.52,shine like it ain’t nothing to it
90.8,92.59,Damn you a major influence
92.59,94.21,skate like there ain’t nothing doing
94.21,96.24,Live life don’t say nothing to them
96.33,97.48,spectators
97.64,98.64,side liners
98.82,99.47,spending days
99.47,100.96,coming up with sly comments
100.96,103.63,that’s psychotic why try a tarnish such a fly product?
103.83,105.83,Why be mad just cause I got? Hey!
106.18,107.02,I may never know
107.02,110.0,Wave to the haters That put me on the pedestal talk smack
110.0,111.82,But they really Know I’m incredible
112.12,113.82,Unforgettable young blue eyes
113.82,115.16,the new guy is on schedule
115.43,117.8,man behind bars and thats minus the federal
117.8,119.32,Stone giant what the hell
119.32,120.24,Could some pebbles do
120.54,122.61,While you Revel In drama Im building revenue
122.78,125.02,Tell them you’ll get them tomorrow their ain’t Nothing stressing you
125.35,127.22,Life goes on Lifes goes on
127.22,129.58,You was the shit even Before those lights went on
129.58,131.99,They gonna trash you Even if they like your song
131.99,134.42,People always gonna judge homie right or wrong?
135.24,136.96,People gonna hate let them do it
136.96,138.66,shine like it ain’t nothing to it
138.89,140.66,Damn you a major influence
140.66,142.27,skate like there ain’t nothing doing
142.27,144.23,Live life don’t say nothing to them
144.83,146.52,People gonna hate let them do it
146.53,148.45,shine like it ain’t nothing to it
148.45,150.17,Damn you a major influence
150.17,151.78,skate like there ain’t nothing doing
151.8,153.83,Live life don’t say nothing to them
154.48,155.96,We don’t give a damn what you did
156.27,157.94,We don’t give a damn who are
158.01,159.81,homie you aint down with the team
159.86,161.68,We don’t give a damn what you think
161.68,163.4,We don’t give a damn what you thought
164.04,165.56,We don’t give a damn what you did
165.86,167.56,We don’t give a damn who are
167.62,169.42,homie you aint down with the team
169.42,170.95,We don’t give a damn what you think
170.95,172.95,We don’t give a damn what you thought
