start_time,end_time,lyrics_line
23.73,25.22,Racking and jacking my mind up.
25.62,27.36,Cannot be telling the time  I
27.58,28.89,Don't care  no.
29.23,30.61,I don't care no.
30.9,33.03,You send thirty messages drunk
33.03,35.03,And dirty messages drunk
35.11,36.5,But I don't look.
36.5,38.5,No I can't be *** to look.
38.99,40.66,I could not breathe.
42.52,45.18,You took your toll on me.
46.35,49.21,You're suffocating please.
50.18,52.36,But since I watched you leave
54.23,57.43,I can see for the first time.
61.65,64.89,And I can see for the first time.
69.25,72.56,And I can see for the first time
72.56,74.34,For the first time.
76.86,80.07,And I can see for the first time.
88.07,89.48,You get jealous easily.
90.19,91.75,You did not make it easy.
92.31,93.76,But what was I expecting?
94.0,95.42,It's a very fitting ending.
95.87,97.81,You say I hurt you bad  well
97.81,99.37,That was never my intent.
99.73,101.61,I was looking out for myself
101.61,103.5,And all of my mental health.
103.73,106.15,I cannot breathe.
107.31,109.71,You took your toll on me.
111.09,113.79,You're suffocating  please.
114.96,116.88,But since I watched you leave
118.98,122.34,I can see for the first time.
126.61,129.96,I can see for the first time.
134.22,137.33,I can see for the first time
137.33,139.01,For the first time.
139.23,141.01,For the first time.
141.85,145.2,I can see for the first time.
148.85,152.21,There is no better deduction
152.21,156.01,There is no better solution
156.12,159.84,There is no better deduction
159.95,163.65,There is no better solution
163.76,167.56,There is no better deduction
167.56,171.35,There is no better solution
171.36,175.18,There is no better deduction
175.18,179.25,There is no better solution
183.76,186.85,I can see for the first time.
187.57,190.5,I can see for the first time.
191.38,194.52,I can see for the first time
194.52,196.03,For the first time
196.5,198.26,For the first time.
199.0,202.32,I can see for the first time.
202.79,205.67,I can see for the first time.
206.61,209.75,I can see for the first time.
209.75,211.24,For the first time
211.74,213.48,For the first time.
