start_time,end_time,lyrics_line
10.15,14.71,Keep on working on your dreams and don't run away
19.47,23.86,Keep on following your dreams and don't go astray
28.43,32.16,We searching everywhere for the peace of mind
37.78,41.72,it's already there but we can not find
46.41,50.88,I keep struggling for my life but i'm a strong man today
55.57,60.02,I keep fighting for my rights so much songs to play
65.23,66.46,So many problems
67.49,69.6,So many close friends
69.87,71.88,And when it's gonna rain
72.14,73.3,how many gonna stand
74.37,75.57,So many problems
76.63,78.71,So many close friends
79.0,81.0,And when it's gonna rain
81.28,82.43,how many gonna stand
92.43,97.48,Keep On working on your dreams and don't runaway
101.77,106.13,Keep on following your dreams and don't go astray
111.18,114.88,sit back and watch what happens those days
120.12,124.4,how can I relax for the children of today
128.99,132.73,We're smart enough to find our own line
138.31,142.3,We make art and stuff but they just stay blind
147.51,149.16,So many problems
149.8,151.87,So many close friends
152.15,154.16,And when it's gonna rain
154.43,155.86,how many gonna stand
156.64,161.01,So many problems So many close friends
161.3,163.57,And when it's gonna rain
163.57,164.73,how many gonna stand
