start_time,end_time,lyrics_line
40.6,41.86,I got a lot on my mind
41.86,43.24,And all of the time
43.24,44.8,Been trying to do right
45.41,46.65,I may have the lost the light
46.83,48.12,But I’m keeping it tight
48.12,50.25,Never give up the fight no
50.67,54.98,When my life is a wreck (When my life is a wreck)
54.98,59.95,Have to keep it all in check (keep it all in check)
70.13,71.58,Even in the darkest days
71.58,72.85,Got a trail to blaze
72.88,74.78,Gonna stick to my ways
74.93,76.54,I used to be caught in a phase
76.57,77.72,Where life was a maze
77.87,79.72,Until I saw the suns rays
80.28,84.38,When your life is a wreck (life is a wreck)
85.01,89.95,You got to take that first step
89.95,92.11,Whoa oh oh oh oh
92.11,94.58,Paddle on through the waves now
94.79,97.06,Whoa oh oh oh oh
97.06,99.13,Gonna take me to that place
99.74,101.98,Whoa oh oh oh oh
101.98,104.47,Find that fire inside
104.69,106.96,Whoa oh oh oh oh
106.96,109.74,It’s a fate that you decide
129.71,133.25,When I feel like I’m losing control
134.74,138.71,Gotta reach within my soul
139.63,143.76,And if you’re ever feeling low yeah
144.97,149.58,Take that first step and go! yeah
149.58,151.5,Take that first step to the right
151.96,153.96,Got to find what’s inside
154.28,159.23,Before we run of time  run out of time  run out of time
159.23,161.39,Whoa oh oh oh oh
161.39,163.87,Paddle on through the waves now
164.17,166.34,Whoa oh oh oh oh
166.34,168.82,Gonna take me to that place
169.01,171.26,Whoa oh oh oh oh
171.26,173.77,Find that fire inside
173.96,176.23,Whoa oh oh oh oh
176.23,181.47,It’s a fate that you decide
181.76,186.44,that you decide
238.4,240.88,Whoa oh oh oh oh
240.88,243.35,I’m paddling on  I’m paddling strong
243.35,245.4,Whoa oh oh oh oh
245.4,248.29,Find that fire find that fire
248.29,250.78,Whoa oh oh oh oh
250.78,253.24,I’m paddling on  I’m paddling strong
253.24,255.1,Whoa oh oh oh oh
255.15,256.55,Find that fire find that fire
256.56,274.28,Find that fire find that fire find that fire find that fire
