start_time,end_time,lyrics_line
8.43,10.22,One two three
10.22,14.17,See you looking at me with those eyes
17.19,19.08,Four five six
19.08,21.24,I know that you want this
21.27,25.08,Am I right? Think I'm right
25.9,27.62,Let's skip the games
27.62,29.17,"Fast forward to the ""What's your name?"""
29.17,32.9,Why take our time? Time
34.23,36.41,So one two three
36.41,38.59,Know you heard about me
38.59,40.07,That's alright
40.75,43.26,Just hit my line  oh
43.26,44.82,So come to me
44.82,47.16,Tonight we don't have to be enemies
47.16,49.33,Keep it going like it's meant to be
50.36,51.98,Meant to be  just wait and see
52.08,53.54,So come with me
53.54,55.62,And maybe you can touch my body
55.9,58.08,Don't be scared to take ahold of me
58.08,61.04,Take me in and breathe  tear me up to pieces
61.06,62.18,Oh
64.05,65.72,Get a taste of my bad side
68.38,69.92,Just a taste of my bad side
72.67,74.59,You want a taste of my bad side
77.13,79.05,Just a taste of my bad side
79.22,81.35,You wanna know what it feels like
81.35,82.94,To get a taste of my bad side
82.94,84.47,La di da di
84.53,86.62,Bet you'll think it's nothing
86.62,90.45,Till it drops all at once
90.69,91.33,Your heart
91.33,93.14,Oh my oh me
93.15,96.4,I'm fucking crazy and I can't stop
97.63,100.05,It'll be fun ha!
100.05,101.45,Let's skip the games
101.46,103.34,"Fast forward to the ""What's your name?"""
103.36,108.35,Why take our time? Time
108.35,110.56,So oh my oh me
110.56,112.72,I'm fucking crazy
112.72,113.86,And I can't stop
114.86,116.19,So this'll be fun
117.44,118.9,So come to me
118.9,121.34,Tonight  we don't have to be enemies
121.34,123.52,Keep it going like it's meant to be
124.36,126.17,Meant to be  just wait and see
126.17,127.72,So come with me
127.72,130.09,And maybe you can touch my body
130.09,132.0,Don't be scared to take ahold of me
132.4,135.21,Take me in and breathe tear me up to pieces
135.21,136.14,Oh
138.21,139.7,Get a taste of my bad side
142.56,144.6,Just a taste of my bad side
146.85,148.98,You want a taste of my bad side
151.3,152.9,Just a taste of my bad side
153.41,155.27,You wanna know what it feels like
155.27,158.59,To get a taste of my bad side (Come to me)
158.59,160.02,Tonight we don't have to be enemies
160.02,161.55,Just a taste of my bad side
161.55,164.18,Meant to be meant to be
164.19,166.98,You want a taste of my bad side (come with me)
167.0,168.76,And maybe you can touch my body
168.76,171.15,Just a taste of my bad side (take a hold of me)
170.67,172.47,You wanna know what it feels like
172.98,174.51,To get a taste of my bad side
174.51,175.64,Oh
177.49,178.98,Get a taste of my bad side
181.84,183.81,Get a taste of my bad side
186.2,187.9,Just a taste of my bad side
190.45,192.54,Just a taste of my bad side
194.72,198.54,You want a taste of my bad side hey!
199.29,201.0,Just a taste of my bad side
203.92,205.36,Taste of my bad side…
