start_time,end_time,lyrics_line
54.63,58.31,The sun is fading under blood-red sky
58.32,62.57,The reign of day is over
62.85,66.41,Night soon will break free.
66.75,69.97,They wake in the eerie glow of moonlight
70.23,74.49,Forgotten souls  beyond our sight.
74.82,76.99,World  that's gone forever
76.99,78.99,Long ago lost in their
78.99,82.92,Eyes that shine with mystery.
82.92,84.99,Last remaining shadows
84.99,86.24,Of lost time
86.49,90.0,Whisper in the moonlight.
92.86,95.97,Surprised you're waking in the morning.
96.22,100.49,Can't understand your feelings
100.73,104.5,And where d'you get these thoughts.
104.81,108.49,Inside your mind the voice is calling
108.49,112.13,For the night  to rise at your side
112.13,114.99,World that's gone forever
114.99,116.99,Long ago lost in their
116.99,120.89,Eyes that shine with mystery.
120.89,123.03,Last remaining shadows
123.03,124.45,Of lost time
124.45,127.74,Whisper in the moonlight.
128.49,130.82,So hear their voice
130.82,132.97,Sharing their yearning
132.97,136.92,Gift they're giving to you.
136.92,138.84,Hear their voice
138.99,141.0,Sharing their memories
141.0,145.99,Sacred secrets from past time.
177.49,179.22,World that's gone forever
179.42,180.89,Long ago lost in their
180.89,184.79,Eyes that shine with mystery.
184.99,187.04,Last remaining shadows
187.04,188.41,Of lost time
188.41,192.32,Whisper in the moonlight.
192.32,194.81,So hear their voice
194.81,196.94,Sharing their yearning
196.94,200.49,Gift they're giving to you.
200.96,202.82,Hear their voice
202.82,205.0,Sharing their memories
205.0,208.89,Sacred secrets from past
208.74,210.98,So hear their voice
210.98,212.98,Sharing their yearning
212.98,216.62,Gift they're giving to you.
216.99,226.51,Hear their voice
218.88,220.99,Sharing their memories -
221.18,225.74,Sacred secrets from past time.
