start_time,end_time,lyrics_line
0.51,10.41,I've been nothing but drinking and thinking yeah
12.36,14.36,Long since you been away
18.08,22.14,I don't think that I'm coming back
23.96,27.65,Boy I told you I'm done with that
29.8,33.77,You think you can do me so wrong
33.77,36.41,I'm not the one no
36.77,39.42,I'm not the one
41.11,42.11,Back In High School
42.11,43.17,Under the trees
43.17,44.24,We use to mess around
44.24,45.0,I'd feel you down
45.0,46.65,Right there in the streets damn
46.65,48.19,Those were the days baby
48.19,49.72,Now you barely look at me
49.72,51.27,Like you was never my lady
51.27,52.7,What has this come to be
52.7,53.42,Shit
53.42,54.88,I guess we grown apart
55.06,57.63,Went and seperated but you still up in my heart
57.63,59.28,And that will always be the case
59.28,60.55,You were my first one
60.55,62.15,No matter how the fuck we splite
62.15,63.6,I wish you nothin but love
63.6,64.38,But now I'm
64.38,66.58,Doing these shows and I'm making this money
66.58,68.11,I'm never stoppin for these hoes
68.11,70.11,All want me for money and shit
70.11,72.95,Got these new friends on deck when I cash in my checks
72.96,75.73,Late up on they rent feeling my heart poppin outta my chest
75.73,78.29,Aint no slippin in this game tho
78.29,81.19,They take advantage just to use you for the clout too
81.19,82.72,Thats why I keep my circle small
82.85,84.34,And I keep my friends close
84.34,87.45,Remembering to watch my enemies when they coming through
88.48,92.37,I don't think that I'm coming back
94.22,98.7,Boy I told you I'm done with that
100.01,104.07,You think you can do me so wrong
104.07,107.01,I'm not the one no
107.01,110.29,I'm not the one
111.2,112.71,I'm feeling blessed now
112.71,115.02,I'm Finally able to support my momma too
115.02,116.53,No more double shifts
116.53,118.16,No more stressing bout the rent shit
118.16,119.6,Complaining about the hunger and
119.6,120.93,Goin to bed starving
120.93,123.12,And its all thanks to you Momma
123.12,125.65,If it wasnt all for you beleiving in me
125.82,128.41,I'd probably be in jail doin 2-3
128.41,130.01,You Raised me up all on your own
130.01,131.4,Grew up without my poppa
131.46,132.73,And you put up with my shit
132.73,134.73,For that you know I'm grateful
134.73,137.73,Blessing with the family and friends all that I have
137.73,140.58,Got a loving cousin know I gotchu till the end.
140.58,142.13,Shout out to my crew
142.13,144.25,Adam and Dan Angelo Amin and Mack.
144.33,146.38,You know I got your backs
146.38,148.93,Shit we reppin Ottawa Ontario
148.93,151.79,We up at the Parliment jamming out all on the radio
151.84,152.97,I keep my circle small
152.97,154.59,And I rep my fam too
154.74,157.96,Remembering to watch our enemies when they coming through.
158.71,162.61,I don't think that I'm coming back
164.45,168.98,Boy I told you I'm done with that
170.28,174.22,You think you can do me so wrong
174.22,176.54,I'm not the one no
177.2,180.61,I'm not the one
182.01,187.84,I don't think that I'm coming back (Not coming around no more like that)
187.84,193.61,Boy I told you I'm done with that (Done with all that shit baby)
193.71,197.71,You think you can do me so wrong (Do Me so wrong like)
197.71,200.64,I'm not the one no (Not the one baby)
200.64,204.7,I'm not the one (Not the one baby)
