start_time,end_time,lyrics_line
15.93,21.64,Live in a time of straight sin we got black sheep that don’t fit in I’m like huhhh terrorists who wanna cut limbs don’t
21.53,28.35,zoom in to my true lens these loose ends are too grim to just comprehend I’m like huhhh oh lord it’s getting worse cops out
28.5,34.37,on that gang turf rich folks don’t share first got planned parents don’t need birth got prayers out and don’t see church
34.37,38.58,hands up and they shoot first another young life in that black Hurst I’m too hurt I’m like huhhh…
38.37,44.76,Ya’ll better come my way  ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
44.78,51.16,Ya’ll better come my way  ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
51.16,54.36,Peace signs peace signs up put em in the air and go rise up yeah
54.36,57.53,Peace signs  peace signs up put em in the air and go rise up yeah
57.53,60.75,Peace signs  peace signs up put em in the air and go rise up yeah
60.75,63.99,Peace signs  peace signs up put em in the air and go rise up yeah
67.12,73.1,Live in a time in true greed we got kids here who can’t write and read I’m like huhhh disgust for that mistrust say one
73.1,79.48,word and your handcuffed don’t call bluff and you’ll get struck and you’re in court like huhhh live life with no limits my
79.48,86.79,way no gimmicks pro league no scrimmage crunch time and I finish I’m that superstar no blemish I just own this no tenant
86.79,89.97,you that background no sentence I’m the statement good riddance.
89.97,95.94,Ya’ll better come my way ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
95.94,102.35,Ya’ll better come my way ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
102.35,105.55,Peace signs peace signs up put em in the air and go rise up yeah
105.55,108.76,Peace signs peace signs up put em in the air and go rise up yeah
108.76,111.95,Peace signs peace signs up put em in the air and go rise up yeah
111.95,115.16,Peace signs peace signs up put em in the air and go rise up yeah
118.17,121.31,Stand up rise up peace signs up now whutsup
121.38,124.67,Stand up rise up peace signs up now whutsup
124.67,127.94,Stand up rise up peace signs up now whutsup
127.94,133.76,Live in a time of lost hope we got no ropes for that down slope we got many with plenty that say nope we got refugees on
133.76,141.34,broke boats I’m like huhhhh real life with no TV millionaires stay greedy no love and there’s no grub we got the homeless saying feed me…
140.77,147.16,Ya’ll better come my way ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
147.19,153.57,Ya’ll better come my way ya’ll better come way okay and say ya’ll better come my way I’m gonna make a statement day by day
153.61,156.74,Peace signs peace signs up put em in the air and go rise up yeah
156.74,159.93,Peace signs peace signs up put em in the air and go rise up yeah
159.93,163.15,Peace signs peace signs up put em in the air and go rise up yeah
163.15,166.42,Peace signs peace signs up put em in the air and go rise up yeah
