start_time,end_time,lyrics_line
16.01814059,20.349387755,disparan la linea hay que cruzar
20.349387755,25.299591837,la linea que separa su mundo que es mejor
25.414603175,30.199365079,cruzar dar la vida buscar trabajo un sitio un lugar
30.199365079,35.003174603,apostar todo a una ficha él yo tu y quién mas
35.123809524,37.351746032,los que van a cruzar la linea
37.531428571,40.153015873,cruzar las balas la cerca su dignidad
40.46984127,44.986122449,quieren encontrar un lugar
45.556825397,50.148571429,disparan la linea hay que cruzar
50.474376417,54.991020408,separan la tierra hay que alcanzar
55.423492063,59.879183673,protegen su mundo que es mejor
60.30984127,64.065306122,nos alejan por la fuerza
64.797460317,69.365079365,cruzar dar la vida buscar trabajo un sitio un lugar
69.490793651,74.376145125,apostar todo a una ficha él yo tu y quién mas
74.481632653,76.68244898,los que van a cruzar la linea
76.982857143,79.537777778,cruzar las balas la cerca su dignidad
79.880634921,84.520634921,quieren encontrar un lugar
124.073650794,124.995918367,no puedo parar
125.262222222,126.290068027,no quiero parar
126.48707483,127.451428571,decido salir
127.698866213,128.777777778,decido marchar
128.982857143,129.927619048,no puedo esperar
130.163809524,131.108571429,no quiero esperar
131.418412698,132.318911565,quiero algo mejor
132.579047619,133.520544218,me tiro a la mar
133.864126984,134.896326531,no puedo parar
135.126349206,136.108843537,no quiero parar
136.345396825,138.579591837,yo quiero empezar en otro lugar
138.768253968,139.837823129,decido partir
140.012698413,141.100408163,decido probar
141.24952381,143.481904762,decido salir y no tragar
143.707936508,144.77015873,no puedo parar
144.957460317,145.974603175,no quiero parar
146.166349206,148.435555556,yo quiero empezar en otro lugar
148.637460317,149.680634921,decido partir
149.881904762,150.811428571,decido probar
151.123809524,153.284444444,decido salir y no tragar
153.513650794,154.573333333,no puedo parar
154.768253968,155.847619048,no puedo parar
156.040634921,156.98031746,no puedo parar
157.252063492,158.24,no puedo parar
