start_time,end_time,lyrics_line
21.78031746,24.450612245,ich würd' so gerne meinen namen verlier'n
24.891791383,26.379319728,das wär' schon okay
26.538231293,29.220136054,vollkommen unerkannt durch straßen maschier'n
29.694693878,31.414421769,no you don't know me
31.414421769,34.052789116,es würde niemand danach fragen was geht
34.490340136,36.116462585,alter scheiß auf mein smartphone
36.336326531,38.928979592,und ich hätte endlich zeit zu versteh'n
39.281269841,40.579047619,ich muss einfach mal klar kommen
40.579047619,42.597006803,ich schließ' mich ein
42.884353741,44.69260771,und komm' nicht raus
44.69260771,47.41877551,ich bin ein freak ein freak
47.719909297,49.554285714,rede ständig von meinem wunderschönen glied
49.554285714,52.249387755,ich bin ein freak ein freak
52.481632653,54.314376417,glaube nicht dass es für mich hier etwas gibt
54.314376417,57.041405896,ich bin ein freak ein freak
57.277097506,59.118004535,rede ständig nur von meiner scheiß musik
59.118004535,61.783945578,ich bin ein freak ein freak
62.093061224,63.898412,glaube nicht dass mich von euch jemand besiegt
63.898412,65.271292517,ich bin ein freak
65.102947846,67.633197279,ich würd' so gern' den ganzen tag musizier'n
68.048979592,69.771428571,so mit hoes und cocain
69.771428571,72.546394558,wer das nicht will kann bei mir oral probieren
72.881632653,74.569795918,könnte sofort los geh'n
74.569795918,77.272380952,hört sich das an als würd' ich spanisch versteh'n
77.702675737,79.12707483,una loco pendejo
79.362902494,81.963537415,ich zeig dir einfach meinen penis und geh
82.210249433,83.731156463,ich bin interessiert an dem echo
102.893424036,104.930975057,ich schließ' mich ein
105.293786848,107.131065,und komm' nicht raus
107.131065,109.855782313,ich bin ein freak ein freak
110.091609977,111.920181406,rede ständig von meinem wunderschönen glied
111.920181406,114.567256236,ich bin ein freak ein freak
114.886530612,116.661405896,glaube nicht dass es für mich hier etwas gibt
116.749931973,119.370884354,ich bin ein freak ein freak
119.66984127,121.434557823,rede ständig nur von meiner scheiß musik
121.539047619,124.290612245,ich bin ein freak ein freak
124.470566893,126.175782313,glaube nicht dass mich von euch jemand besiegt
126.328163265,127.497868481,ich bin ein freak
127.497868481,129.406258503,während du sprichst bin ich in gedanken nackt
129.753106576,131.361088435,ich trage nur meine gitarre
132.173786848,134.199727891,ich hör nicht hin ob irgendjemand etwas sagt
134.570521,136.224217687,ich glaub' die reden über mathe
136.986122449,138.984489796,während du sprichst bin ich in gedanken nackt
139.381043084,141.126530612,ich trage nur meine gitarre
141.826031746,143.791020408,ich hör nicht hin ob irgendjemand etwas sagt
144.166530612,145.478820862,ich glaub' ich sitze in der kacke
145.478820862,148.249251701,ich bin ein freak ein freak
148.523174603,150.334693878,rede ständig von meinem wunderschönen glied
150.334693878,153.057959184,ich bin ein freak ein freak
153.289795918,155.118004535,glaube nicht dass es für mich hier etwas gibt
155.118004535,157.855782313,ich bin ein freak ein freak
158.095963719,159.921632653,rede ständig nur von meiner scheiß musik
159.921632653,162.690612245,ich bin ein freak ein freak
162.870204082,164.593197279,glaube nicht dass mich von euch jemand besiegt
164.719455782,166.591564626,ich bin ein freak
169.46031746,171.380680272,ich bin ein freak
174.326712018,176.169795918,ich bin ein freak
179.137959184,180.928435374,ich bin ein freak
182.089795918,183.928888889,glaube nicht dass mich von euch jemand besiegt
183.928888889,185.364897959,ich bin ein freak
