start_time,end_time,lyrics_line
10.617687075,13.175873016,que bueno que swipeaste a la derecha mama
13.469387755,16.03047619,porque a esta noche le daremos movimiento
16.126984127,18.530975057,q'uno'o dos tequilas solo pa' calentar
18.797278912,21.313015873,mira que aqui estamos pa' disfrutar el momento
21.453061224,23.923809524,show me what you got oh baby dance for me y me das
24.128798186,26.629931973,toda tu pasion y tu sudor mas vete lento
26.797278912,29.376507937,que no tengo prisa que esta noche da pa' mas
29.456689342,31.533968254,muévete cerquita aqui no mas
32.126984127,37.376417234,baila baila hasta que me enamores baby tu
37.456689342,42.784580499,baila baila probaré tus sabores baby tu
42.784580499,48.130612245,baila baila enséñame tus colores baby tu
48.130612245,52.831201814,baila baila al beat de mi corazon
74.960544218,77.415873016,toma mi mano y dame tu espalda
77.663492063,80.222040816,y lentamente sentiré como me bailas
80.344671202,82.800907029,muévete rico que no hay palabras
82.985941043,85.465396825,pa' describir como en mi cielo tu te empalmas
85.638095238,87.983310658,mueve tus pies que bien sabés
88.290249433,90.718911565,que yo contigo desde el bungee y sin arnés
90.927891156,93.184580499,y al oido yo te diré
93.603628118,96.642902494,que el dirty talk se nos vendra hasta en inglés oh yes
97.456689342,102.802721088,baila baila hasta que me enamores baby tu
102.802721088,108.126984127,baila baila probaré tus sabores baby tu
108.126984127,113.456689342,baila baila enséñame tus colores baby tu
113.456689342,118.112653061,baila baila al beat de mi corazon
140.079455782,142.516553288,y a la luna llena le daremos calor
142.708390023,145.297959184,y esta noche entera pintara de colores
145.458503401,147.952653061,baby tu me bailas y me llegan los temblores
148.108843537,150.74829932,porque con tus labios tu me das tos' los sabores
150.74829932,153.165714286,sabes que este mundo no es lo mismo sin tu amor
153.467573696,155.895510204,damelo todo que yo lo acomodo
156.110657596,158.432199546,damelo al max que el mio lo tendras
158.604988662,162.605714286,llenémonos de besos que hoy somos traviesos en exceso
164.787301587,170.129705215,baila baila hasta que me enamores baby tu
170.129705215,175.470294785,baila baila probaré tus sabores baby tu
175.470294785,180.792743764,baila baila enséñame tus colores baby tu
180.792743764,185.537959184,baila baila al beat de mi corazon
