start_time,end_time,lyrics_line
29.705578231,31.373061224,esta es la ocasion
31.764897959,33.472653061,de verte marchar
33.798095238,35.130340136,por fin viviré
35.31755102,37.416054422,por fin voy a luchar
37.912380952,39.518911565,mi vida sin ti
39.976054422,43.26893424,mi vida y nadie mas
46.119183673,47.612517007,es el momento
48.161814059,49.906938776,de verme triunfar
50.229115646,51.648435374,de dejarte atras
51.648435374,54.02122449,decir adios sin mas
54.334693878,56.019591837,lo nuestro esta asi
56.394013605,59.093333333,que quieres de mi
62.471836735,63.943401361,salio la verdad
64.557278912,66.26122449,no me engañaras
66.64707483,68.035918367,yo quiero vivir
68.162176871,70.395646259,sin mirar atras
70.717097506,72.43755102,lo nuestro acabo
72.807619048,75.804444444,asumelo ya
79.44707483,81.229206349,besando sapos
81.467210884,83.543945578,paso la vida asi
83.543945578,85.39138322,buscando al guapo
85.590204082,88.124081633,que me haga sonreir
89.158095238,91.575510204,no sé quién me conto
91.733333333,93.988571429,que habia un final feliz
95.386122449,97.022040816,creia que tu
97.430204082,98.958367347,eras especial
99.471020408,101.515102041,un hombre distinto
101.515102041,103.206530612,a los demas
103.533061224,105.364897959,que tonta que fui
105.626122449,108.582312925,no entiendo que te vi
111.755102041,113.562993197,perdi la esperanza
113.821678005,115.348027211,de tanto esperar
115.892244898,117.518367347,alguien que me quiera
117.518367347,119.653877551,alguien de verdad
119.970612245,121.782857143,que mal verme asi
122.042630385,124.68244898,tengo que espabilar
128.203900227,129.70122449,vuelve a suceder
130.207346939,131.784489796,la historia de ayer
132.284081633,133.828571429,tengo que aprender
133.828571429,135.751836735,no lo puedo creer
136.114285714,137.900408163,que me pase a mi
138.177959184,142.364081633,que me pase otra vez
145.067755102,146.784217687,besando sapos
147.124535147,149.219773243,paso la vida asi
149.219773243,151.010612245,buscando al guapo
151.248979592,153.854693878,que me haga sonreir
154.773333333,157.146122449,no sé quién me conto
157.31047619,159.552653061,que habia un final feliz
159.748571429,163.342222222,un final feliz
167.678548753,169.478095238,besando sapos
184.015238095,185.858321995,besando sapos
188.107755102,189.74185941,besando sapos
190.11047619,192.290612245,paso la vida asi
192.290612245,194.011428571,buscando al guapo
194.321632653,196.881995465,que me haga sonreir
197.874648526,200.23755102,no sé quién me conto
200.499591837,202.980136054,que habia un final feliz
220.956734694,222.754829932,besando sapos
223.04,225.052154195,paso la vida asi
225.052154195,226.83755102,buscando al guapo
227.160816327,229.848526077,que me haga sonreir
230.700408163,233.012789116,no sé quién me conto
233.246984127,235.289251701,que habia un final feliz
235.612154195,238.780952381,un final feliz
