start_time,end_time,lyrics_line
20.248888889,25.541950113,du bist es nicht die so sehr für eine sache brennt
25.638095238,30.98122449,dass man sie hinterher vor lauter ruß nicht wiedererkennt
31.779047619,36.048979592,du stehst nicht unter strom zumindest nicht permanent
36.231111111,41.455782313,auch für die kleinen dinge bleiben dir immer noch ein paar prozent
41.613061224,46.907210884,du bist es nicht die gern etwas auf sich beruhen lässt
46.907210884,52.210068027,oder die schon bevor das licht angeht den kinosaal verlässt
52.628027211,57.621768707,was sich festzuhalten lohnt lässt du nicht einfach ziehen
57.621768707,63.135056689,du hörst den sternen dann nur zu wenn sie es sich wirklich verdienen
64.215510204,68.313106576,so wie du bist bist du genau wie ich dich will
69.572789116,74.274829932,was du auch anstellst tust du mit grazie und stil
74.274829932,79.696689342,dein guter geschmack ist unbestreitbar und er spricht für sich
80.272653061,83.342222222,bitte beweg dich nicht
85.586938776,88.572517007,bitte beweg dich nicht
92.213333333,97.976598639,du hast ein wachsames auge ein verständnisvolles ohr
98.466031746,102.996825397,die fehler der vergangenheit hältst du mir nur selten vor
102.996825397,108.617142857,du bist mein groupie fan und kritiker in personalunion
108.261587302,113.905487528,wer kann das schon von sich behaupten ich kann behaupten ich kann das schon
114.42031746,118.959092971,so manche schnapsidee hast du mir um die ohren gehauen
118.959092971,121.910566893,wenn ich vor diesen viechern nicht so viel respekt hätte
121.910566893,124.651972789,würde ich mit dir auch pferde klauen
125.574603175,129.924353741,so wie du bist bist du genau wie ich dich will
130.900861678,135.604535147,was du auch anstellst tust du mit grazie und stil
135.604535147,141.274557823,dein guter geschmack ist unbestreitbar und er spricht für sich
141.6,144.565986395,bitte beweg dich nicht
146.892698413,149.773061224,bitte beweg dich nicht
191.181496599,196.13968254,stolperst du über deine träume helfe ich dir wieder auf
196.376961451,201.808253968,ein blaues auge und verschrammte knie nehme ich dafür gern in kauf
202.50122449,207.095873016,ich halt dich an der leine wenn dein kopf über den wolken schwebt
207.243900227,212.566349206,und ich lass mich mit dir treiben während unter uns die erde bebt
213.54521542,217.996190476,so wie du bist bist du genau wie ich dich will
218.938049887,223.626303855,was du auch anstellst tust du mit grazie und stil
223.626303855,229.231746032,dein guter geschmack ist unbestreitbar und er spricht für sich
229.610521542,232.741587302,bitte beweg dich nicht
234.893061224,240.227845805,so wie du bist bist du genau wie ich dich will
240.227845805,245.524897959,so wie du bist bist du genau wie ich dich will
245.524897959,250.798730159,so wie du bist bist du genau wie ich dich will
250.917006803,254.206984127,bitte beweg dich nicht
256.240907029,259.496145125,bitte beweg dich nicht
