start_time,end_time,lyrics_line
3.546122449,7.279455782,man o man am ende des tages ist noch arbeit übrig
9.486802721,13.424036281,wenn andere ihre kinder betten
13.960997732,17.078276644,brennt im büro ein licht
17.737142857,21.376145125,man sieht dich dort die firma retten
21.791927438,25.254058957,die sonst zusammenbricht
26.069478458,28.225306122,naja kollege einer muss sich ja drum kümmern
33.86122449,40.497777778,es ist noch arbeit übrig du hast's noch nicht geschafft
41.645714286,48.858412698,du mußt die welt noch retten sonst wird sie hingerafft
49.58185941,53.394285714,ich kann machen was ich will am ende der woche ist auch noch arbeit übrig
56.991020408,59.106394558,andere hüten kinder
60.096326531,62.995736961,und du hast nicht mal einen hund
64.011609977,67.111473923,du brauchst auch keine wohnung
67.959365079,72.085714286,büroschlaf ist ja so gesund
72.622222222,75.702857143,sonst ist ja keiner mehr da ihr braucht mich doch
80.654512472,87.366530612,es ist noch arbeit übrig du hast's noch nicht geschafft
88.464399093,95.133605442,du mußt die welt noch retten sonst wird sie hingerafft
95.281632653,100.971972789,burn out man am tag vor dem urlaub ist auch noch arbeit übrig
103.70430839,105.878639456,andere packen koffer
107.214512472,110.306394558,du stornierst den flug
110.883265306,114.12462585,die wichtige bestellung
114.978684807,119.405714286,kommt sonst nicht mehr zum zug
119.812789116,122.390929705,übernimmt denn hier keiner außer mir verantwortung
127.553741497,134.548027211,es ist noch arbeit übrig du hast's noch nicht geschafft
135.278004535,141.509659864,du mußt die welt noch retten sonst wird sie hingerafft
141.587301587,147.152108844,oh burn out man kurz vor der rente ist auch noch arbeit übrig
150.517913832,152.973061224,andere mähen schon rasen
153.569160998,156.900136054,aber du bist noch im amt
158.425396825,160.631292517,denn du musst noch was schaffen
161.835827664,165.751292517,dazu bist du verdammt
166.737777778,170.932244898,mir wird's ja auch zuviel aber wir können doch nicht alles den bach runter gehen lassen
174.280634921,181.40952381,es ist noch arbeit übrig du hast's noch nicht geschafft
182.125714286,188.764444444,du mußt die welt noch retten sonst wird sie hingerafft
189.012244898,194.397460317,burn out man am ende des lebens ist auch noch arbeit übrig
197.407346939,199.608888889,andere dürfen schon modern
200.343945578,203.845079365,aber du bist noch nicht tot
204.58122449,207.786666667,die welt die braucht dich immer noch
208.402721088,211.184761905,als retter in der not
213.200544218,217.193650794,begrabt mich mit meinem laptop ich muss noch meine mails checken
221.135238095,228.18829932,es ist noch arbeit übrig du hast's noch nicht geschafft
228.884897959,235.133968254,du mußt die welt noch retten sonst wird sie hingerafft
235.221768707,239.539954649,oh burn out man
239.693061224,241.205986395,burn out man
242.262494331,243.313197279,burn out man
245.750566893,247.960090703,burn out man
249.688526077,251.81170068,burn out man
