start_time,end_time,lyrics_line
7.15755102,10.083265306,oh ah ah oh ah ah oh ahha
10.495419501,13.400816327,oh ah ah oh ah ah oh ahha
13.820952381,16.737959184,oh ah ah oh ah ah oh ahha
17.153741497,20.081632653,oh ah ah oh ah ah oh ahha
20.456780045,26.710204082,quand vient l'hiver je l'attends comme les cloches sonnent en automne
27.143401361,33.358367347,sur cette air je m'émerveille quand viennent les souhaits que je fredonne
33.817687075,40.137142857,une mélodie de noël pour des nostalgies d'enfance
40.463673469,46.827755102,juste un regard vers le ciel toi et moi quand j'y repense
47.137959184,53.204897959,j'attendrais si il le faut un couplet et quelques voeux
53.814421769,60.393650794,ce soir quand il fera chaud quelques heures au coin du feu
63.786666667,69.768707483,christmas christmas all i want is only you
70.471836735,76.466213152,christmas christmas notre amour en rendez vous
77.143219955,80.094331066,oh ah ah oh ah ah oh ahha
80.474557823,83.432199546,oh ah ah oh ah ah oh ahha
83.807346939,86.733786848,oh ah ah oh ah ah oh ahha
87.151020408,90.064399093,oh ah ah oh ah ah oh ahha
90.483809524,96.732879819,quand vient l'hiver je l'attends comme les cloches sonnent en automne
97.125442177,103.500408163,sur cette air je m'émerveille quand viennent les souhaits que je fredonne
103.820045351,110.167619048,une mélodie de noël pour des nostalgies d'enfance
110.478367347,116.839183673,juste un regard vers le ciel toi et moi quand j'y repense
117.154829932,123.203628118,j'attendrais si il le faut un couplet et quelques voeux
123.816054422,130.024489796,ce soir quand il fera chaud quelques heures au coin du feu
130.468571429,136.723809524,un seul souhait oui j'aimerais merry christmas everyday
137.140680272,143.441269841,te revoir même qu'une fois christmas christmas avec toi
143.808435374,150.262131519,j'attendrais jusqu'au matin un happy end un refrain
150.478367347,156.300408163,christmas christmas all i want is only you
157.128707483,163.007346939,christmas christmas notre amour en rendez vous
163.805170068,169.70122449,christmas christmas all i want is only you
170.470748299,176.323265306,christmas christmas un regard quelques mots doux
177.130521542,180.068571429,oh ah ah oh ah ah oh ahha
180.475646259,183.382857143,oh ah ah oh ah ah oh ahha
183.804081633,186.736326531,oh ah ah oh ah ah oh ahha
187.136870748,190.073469388,oh ah ah oh ah ah oh ahha
190.474013605,193.39755102,oh ah ah oh ah ah oh ahha
193.798095238,196.747755102,oh ah ah oh ah ah oh ahha
197.125079365,202.994285714,christmas christmas all i want is only you
203.80952381,209.665306122,christmas christmas notre amour en rendez vous
210.468571429,216.329795918,christmas christmas all i want is only you
217.149387755,223.151020408,christmas christmas all i want is only you
223.82585034,229.617142857,christmas christmas un regard quelques mots doux
