start_time,end_time,lyrics_line
60.489795918,62.686621315,deja que te cuente
63.727165533,65.912018141,deja que te diga
67.291428571,70.592290249,que tengo miedo de volver
73.505306122,75.956462585,aunque yo te quiera
76.751020408,79.317913832,aunque seas mi vida
80.179591837,84.424489796,solo me acuerdo del ayer
86.857142857,89.777777778,cuando tus miradas eran distintas
89.87755102,92.863673469,cuando tus palabras me hacian sufrir
93.12,96.248526077,cuando por tenerte hubiese dado mi vida
96.36244898,99.357823129,cuando te alejabas poco a poco de mi
99.619410431,102.701133787,ahora estas solo y gritas al cielo
102.87600907,105.83446712,que tu sin mis besos no sabes vivir
106.093061224,109.128707483,mas quiero que sepas que todo este tiempo
109.348571429,116.471292517,ha sido un infierno y que vivo tan solo pensando en ti
131.857414966,134.111564626,si al final volvemos
135.000816327,137.467936508,no sera lo mismo
138.612244898,142.118820862,hemos cambiado yo lo sé
144.626938776,147.312471655,razones que no cesan
148.094693878,150.737142857,besos compartidos
151.497142857,155.533061224,miedos que vuelven a nacer
158.19755102,161.183492063,cuando tus miradas eran distintas
161.319183673,164.19047619,cuando tus palabras me hacian sufrir
164.507573696,167.677460317,cuando por tenerte hubiese dado mi vida
167.758367347,170.52952381,cuando te alejabas poco a poco de mi
170.994285714,174.072380952,ahora estas solo y gritas al cielo
174.230204082,177.216507937,que tu sin mis besos no sabes vivir
177.475918367,180.589206349,mas quiero que sepas que todo este tiempo
180.757188209,187.547936508,ha sido un infierno y que vivo tan solo pensando en ti
188.186122449,190.618412698,no no no no no
191.847619048,194.107936508,pensando en ti
194.680816327,197.12,no no no no no
198.334693878,200.551111111,pensando en ti
201.160272109,204.01015873,no no no no no
204.843537415,207.116190476,pensando en ti
207.647346939,210.671746032,no no no no no
212.932789116,215.32952381,pensando en ti
