start_time,end_time,lyrics_line
47.578412698,50.604988662,wo gibts den besten milchkaffee
53.818412698,56.598639456,himbeer oder roiibusch tee
59.50984127,63.325170068,wo gibt es frühstück bis nach zwei
65.196190476,67.128888889,cafe jenseitz
71.531972789,74.702947846,wo wird man immer nett begrüßt
77.533968254,80.536961451,wo tuckt der chef in der kombüse
83.577324263,87.459410431,wo sieht man dir gern auf dein teil
89.198730159,90.91047619,cafe jenseitz
95.568253968,98.422857143,wo dreht man gleich den kopf zurück
101.493333333,105.201632653,nur weil ein gast die klinke drückt
107.53015873,110.628571429,wo sitzt man gerne auch zu zweit
112.995555556,114.895238095,im cafe jenseitz
119.508027211,122.586848073,wo gibt es bowle mal umsonst
125.44,129.171156463,wenn du zur grand prix party kommst
131.428571429,135.018231293,wo kassierst du sechzig euro dann
136.822857143,138.958367347,im cafe jenseitz
140.573968254,143.973877551,das cafe für den mann
