start_time,end_time,lyrics_line
19.675283447,21.995102041,salut mon grand comment ça va
22.443537415,24.308390023,ça f'sait longtemps que j't'avais pas
24.308390023,27.672380952,envoyé une ptite lettre mais c'est pas évident
28.865306122,31.10893424,tu sais j'ai beau leur demander
31.596553288,33.447619048,ils font la gueule au ptt
33.447619048,36.826848073,le code postal du paradis n'est pas courant
37.971882086,42.469297052,mais je me dis que maintenant que les capotes sont à un franc
42.597732426,45.90585034,j'vais en gonfler dix à l'hélium pour accrocher
47.118367347,51.693061224,la lettre que j'écris à l'instant qui s'en ira au gré du vent
51.693061224,55.06031746,il ne te restera plus qu'à la rattraper
92.81814059,97.417142857,tu sais t'aurais pas du crever la vie n'était pas terminée
97.417142857,100.861678005,hier encore y'avait des vagues et puis du vent
102.027755102,106.582857143,on aurait pu aller surfer mais t'as préféré te casser
106.582857143,109.946485261,dans le jardin d'éden dans le jardin du temps
111.164081633,115.686530612,mais tu te dis que maintenant que les capotes sont à un franc
115.686530612,119.12707483,ton coeur battrait plus fort quand arrive l'été
120.271020408,124.865306122,tu sentirais encore le vent les grains de sable et puis le temps
124.865306122,128.104489796,couler entre tes doigts et glisser sous tes pieds
129.433469388,134.001632653,ok je sais bien qu'elle était super bandante à en crever
134.001632653,137.418594104,elle t'a entraîné dans son lit tu pouvais pas r'fuser
138.573061224,143.063945578,tu n'avais que deux francs sur toi et t'as pensé 'tention sida
143.15755102,146.543673469,mais qu'une fille belle comme ça était immunisée
165.942857143,170.467755102,et tu te dis que maintenant que les capotes sont à un franc
170.537142857,174.267936508,tu serais encore là et tu raconterais
175.144489796,179.728979592,que t'avais fait l'amour deux fois sans penser qu'avec cette fille là
179.728979592,183.34984127,l'amour et la mort étaient à jamais liés
