start_time,end_time,lyrics_line
47.674920635,51.503673469,etiqueto agrego me hago fan cambio mi nick
52.167256236,56.999183673,lo publico en mi muro lo comparto con un tweet
58.646349206,62.511020408,subo fotos moñas actualizo mi perfil
63.09877551,66.707301587,recolecto y me suscribo a tu feed
69.627936508,74.775873016,tengo cuatro mil amigos soy un tio super popular
75.123809524,79.553015873,a pesar de que a ninguno he visto jamas
80.489795918,85.815147392,si echo en falta compañia va siendo hora de activar el chat
86.066938776,89.443265306,todo es falso pero me da igual
156.286258503,158.801632653,si si es tu vida una patraña
159.434013605,162.136235828,sin hazañas que te engaña es una puta castaña
162.136235828,164.926984127,existencia ermitaña que te nubla y te empaña
164.926984127,166.177959184,todo juicio y razon
166.313650794,167.532698413,te lo digo sin rencor
167.66984127,168.778412698,pero te falta un hervor
168.863492063,172.496326531,y poco a poco estas cayendo en el hoyo de la enajenacion
173.069206349,173.857959184,por favor
174.841904762,175.832380952,sal de tu letargo
175.832380952,179.226122449,y hazte cargo de que el mundo no se encierra tras tu pobre monitor
182.09015873,185.962811791,hoy sali a la calle todo es nuevo para mi
186.514285714,191.377414966,llevaba mas de tres años metido en mi cuchitril
193.066666667,196.926258503,me he sentido solo sin saber a donde ir
197.47047619,201.121088435,ahora entiendo porque dicen que soy un freak
204.007619048,209.260408163,tengo cuatro mil amigos soy un tio super popular
209.493333333,213.97877551,a pesar de que a ninguno he visto jamas
214.877460317,220.241632653,si echo en falta compañia va siendo hora de activar el chat
220.48,224.062040816,todo es falso pero me da igual
