start_time,end_time,lyrics_line
3.392290249,3.992743764,here we go
15.994557823,18.185578231,hey hey heya heya
20.22675737,22.43047619,yeeaha
23.891882086,26.280634921,yeeaha
27.55047619,28.759365079,yeah yeah
29.167346939,31.186938776,si t'es là c'est pour l'meilleur et pour le pire
31.497142857,33.485714286,j'te retiendrais pas si tu veux partir un jour
33.822040816,35.560634921,un coup c'est la guerre un coup c'est la fête
35.648979592,37.056507937,j'sais plus trop où donner d'la tête
37.358004535,39.379591837,j'en ai fait des bêtises je sors sans prévenir
39.379591837,40.695873016,tu finis par être à bout
41.196734694,43.911111111,un coup c'est la guerre un coup c'est la fête c'est la fête
45.066122449,51.84,gi he entre nous beaucoup trop d'questions entre nous beaucoup trop d'questions questions
51.518367347,57.963174603,he he j'te l'dirais jamais mais t'avais raison l'dirais jamais mais t'avais raison
59.382857143,65.927619048,non j'voulais pas te mentir mais j'ai dû choisir entre facilité et courage rage rage rage
66.755918367,69.505306122,à trop vouloir m'en sortir j'ai
69.505306122,73.193650794,seulement retardé la tempête avant l'orage rage rage rage
73.534693878,74.595555556,et jte connais très bien
74.883265306,76.873650794,je sais quand t'es blessée je sais quand t'es déçue
77.165714286,80.680634921,je sais que tu kiffes quand j'te regarde droit dans les yeux quand j'suis au dessus
80.950204082,82.526984127,j'voulais pas mais tu sais comment j'suis
82.877823129,84.281904762,voleur d'amour j'tavais prévenu
84.620408163,87.96952381,j'ai volé ton coeur et celui d'ta pote mais celui là c'était pas voulu
88.243265306,89.927619048,et j'sais plus quoi faire maintenant
90.275918367,91.920272109,que t'es partie j'pense à avant
92.152743764,93.617777778,j'attends seulement que tu reviennes
93.846349206,95.426031746,car t'es accro à moi comme cocaïne
95.702857143,97.670385488,et j'sais plus quoi faire maintenant
97.670385488,99.534693878,que t'es partie j'pense à avant
99.534693878,100.944761905,j'attends seulement que tu reviennes
101.226122449,102.981587302,car t'es accro à moi comme cocaïne
103.092244898,105.038730159,si t'es là c'est pour le meilleur et pour le pire
105.33877551,107.34984127,j'te retiendrais pas si tu veux partir un jour
107.696326531,109.424761905,un coup c'est la guerre un coup c'est la fête
109.490612245,110.902857143,j'sais plus trop où donner d'la tete
111.211428571,113.231020408,j'en ai fait des bêtises je sors sans prévenir
113.231020408,114.737777778,tu finis par être à bout
115.026938776,116.828571429,un coup c'est la guerre un coup c'est la fête
116.912653061,118.37968254,j'sais plus trop où donner d'la tête
118.893061224,125.693968254,gi he entre nous beaucoup trop d'questions entre nous beaucoup trop d'questi
126.293333333,134.194285714,he he j'te l'dirais jamais mais t'avais raison jamais ja j'te l'dirais jamais mais t'avais raison
134.595918367,136.986122449,jamais jamais jamais
