start_time,end_time,lyrics_line
19.6767218175,23.6,yeah oh
25.6989662195,28.87,please don't stand over here
28.8810796262,31.89,act like you care so selfaware
32.1743671081,35.16,i know you were not scared
35.2571986055,39.25,i could've died but that isn't fair huh
39.8825766864,42.28,but what am i supposed to think
42.8024334859,44.99,you weren't there for me
46.2906246282,49.95,cause i'm not who i should be for you
50.7362274819,53.89,you've got a record and a past
54.1464137384,56.86,guess that's what makes me the ass
57.2180339761,60.14,i should've known i should've cared
60.4879549375,62.93,how could i have been so unprepared
62.9751740794,69.79,now where does the good boy go to hide away hide the pain
70.2551577745,74.7,cause you won't see me cry when i'm done
76.8160902714,82.61,what is it that you want from me want from me
83.3091917943,88.79,what is it that you want from me want from me
88.9572809601,93.8,i want you to feel i want you to feel
95.2998653621,100.2,i want you to feel i want you to feel
105.4088871291,107.25,i'm a feather in the wind
108.9210994055,111.88,carried away by all that you say
112.0468005772,115.75,sitting on thin air
118.1316735902,121.12,i'm a loss to my friends
121.6930345823,124.73,too unpersuaded by all they're saying
124.7557025529,130.55,and you can't pretend to care yeah
130.5606696147,133.92,yeah i was reckless in the past
134.173740047,136.66,i was seethrough just like glass
137.1501996912,140.11,did all i could to make this last
140.3735610777,142.83,so how could you be such an ass
143.0503651487,149.49,i know where the good boys go to hide the pain hide the pain
149.577891199,155.87,but that don't mean i die when you don't
156.9251077288,162.54,what is it that you want from me want from me
163.275197672,168.66,what is it that you want from me want from me
169.0728876911,173.77,i want you to feel i want you to feel
175.2412200814,180.6,i want you to feel i want you to feel
182.5350620264,188.2,what is it that you want from me want from me
188.8169700534,194.45,what is it that you want from me want from me
194.4746764804,199.76,i want you to feel i want you to feel
200.8749426639,207.38,i want you to feel i want you to feel
208.2301435369,213.53,good boys go to hide the pain hide the pain
213.5581322754,218.48,cause you won't see me cry when i'm done
219.7851048045,226.24,i know where the good boys go to hide the pain hide the pain
226.4021922746,232.2,but that don't mean i die when you don't
