start_time,end_time,lyrics_line
0.01015873,1.54122449,um dois três quatro
67.415873016,70.62031746,imagine toi qu'un beau jour
70.831746032,73.887619048,tu devras payer pour respirer
74.262857143,77.466122449,cours vite pour te faire assurer
77.706666667,80.69877551,si tu veux pas trop en baver
81.132698413,84.434285714,en plus de te faire marcher d'sus
84.553650794,87.340408163,le but est de te taxer
88.022857143,91.105124717,si tu veux jouer un rôle
91.413333333,94.582857143,attends encore oh
94.89015873,97.893877551,culture and co dans ton bol
98.311111111,101.511836735,pas de remords oh
108.556190476,111.740952381,bientôt toute l'inspiration
111.982222222,115.2,se f'ra d'vant la télévision
115.456507937,118.74031746,où seront les bonnes émissions
118.839002268,121.945396825,comme un suppo à te foutre dans le fion
122.269024943,125.424761905,en plus de te faire marcher d'sus
125.70122449,128.477460317,le but est de te saigner
129.123265306,132.353015873,si tu veux jouer un rôle
132.57723356,135.654603175,attends encore oh
136.02829932,139.18984127,culture and co dans ton bol
139.409705215,142.727256236,pas de remords oh
177.171156463,180.327619048,si tu veux jouer un rôle
180.564172336,183.66984127,attends encore oh
184.003628118,187.052698413,culture and co dans ton bol
187.425668934,190.618412698,pas de remords oh
