start_time,end_time,lyrics_line
2.442811791,5.355102041,plus de love
5.544126984,8.089795918,plus de love
8.731428571,11.415510204,plus de love
11.922721088,15.531428571,hey je reve qu'un joue chacun soit maitre de son destin
15.764172336,18.940226757,que chaque personne puisse un jour se prendre en main yeah
18.940226757,21.98276644,sans avoir à douter de prendre le mauvais chemin oh
22.050249433,24.870748299,où chaque obstacle ne serait surmonté en vain
25.274920635,28.056235828,que les parents pardonnent leurs enfants de ne plus croire en rien
28.477823129,31.368707483,que les enfants suivent cette melodie qui vient de loin
31.616870748,34.532426304,au lieu d'écouter des chimères qui ne valent rien
34.793650794,37.46031746,tu es mon adversaire me diront certains
37.571337868,39.372335601,oh oui tu sais man
39.587120181,43.566439909,la joie quand on prend conscience d'exister oh yeah
43.968435374,45.703401361,oh oui tu sais man
45.917460317,50.300952381,les regrets sont si durs à oublier oh no no no
50.300952381,51.96553288,oh oui tu sais man
52.291337868,56.669750567,que les enfants veulent grandir et te ressembler oh tous les you tes
56.669750567,58.303854875,oh oui tu sais man
58.62893424,62.791836735,un jour ou l'autre l'amour va triompher love love love now
63.2,66.430839002,jah j'en vois beaucoup qui rigolent quand je clame ton nom tout
66.58031746,69.46829932,ils te prennent pour une marque une herbe une religion
69.765804989,72.933877551,beaucoup parlent sur toi sans même faire attention beaucoup
72.933877551,76.419047619,les signes ils préferrent les voir à la télévision yeah
76.144036281,79.575510204,beaucoup pensent parler avec esprit mais leur coeur est fermé parce
79.258412698,82.184126984,jamais ils n'osent se taire pour mieux écouter
82.45260771,85.746938776,ils osent narguer l'enfer en bravant tous les dangers hey
85.670022676,88.656689342,dure sera la chute quand il faudra se reveiller
88.436099773,90.195011338,oh oui tu sais man
90.431564626,94.625668934,la joie quand on prend conscience d'exister oh yeah
94.823038549,96.624036281,oh oui tu sais man
96.785124717,101.155555556,les regrets sont si durs à oublier oh no no no
101.155555556,102.902857143,oh oui tu sais man
103.146485261,107.580952381,que les enfants veulent grandir et te ressembler oh tous les you tes
107.580952381,109.17877551,oh oui tu sais man
109.484988662,114.262494331,un jour ou l'autre l'amour va triompher l'amour pour les penseurs
114.262494331,117.377959184,je reve qu'un joue chacun soit maitre de son destin tout
117.462494331,120.65814059,que chaque personne puisse un jour se prendre en main tout le monde
120.65814059,123.814603175,sans avoir à douter de prendre le mauvais chemin hey
123.814603175,128.801814059,où chaque obstacle ne serait surmonté en vain musique wow yo
128.177052154,131.918367347,pour tous les penseurs motivés wow yo yo yo yo
131.329160998,135.698866213,on vient bouger la musique reggae wow yo
134.723628118,138.289342404,vient man si t'es motivé moti wow yo yo yo yo
137.713197279,141.246258503,on vient parler ici d'unité wow yo
140.908843537,144.284444444,pour tous les soeurs et frères de tous les quartiers wow yo yo yo yo
144.284444444,147.609977324,revient ici dans la case policière wow yo
147.237732426,150.212789116,vient sur la musique reggae wow yo yo yo
150.212789116,151.42675737,yo big up
152.007981859,153.817687075,oh oui tu sais man
154.016507937,157.928344671,la joie quand on prend conscience d'exister oh yeah
158.377505669,160.194829932,oh oui tu sais man
160.342494331,164.752834467,les regrets sont si durs à oublier oh no no no
164.752834467,166.46893424,oh oui tu sais man
166.713469388,171.126712018,que les enfants veulent grandir et te ressembler oh tous les you tes
171.126712018,172.836281179,oh oui tu sais man
173.046712018,177.262585034,un jour ou l'autre l'amour va triompher love love love now
179.619591837,184.732879819,on revient chanter pour jah
185.762539683,190.799092971,pour ceux qui gardent la foi
192.139319728,197.369614512,pour tous ceux qui restent au combat yeah
198.496326531,202.684807256,pour tous ceux qui chantent pour la joie
202.862585034,204.607709751,jah boh gonne chasse
