start_time,end_time,lyrics_line
7.719183673,16.653877551,hoffnungslos im dunkel meines seins raste ich dahin
17.289795918,23.176417234,suchte nach dem sinn meines lebens
25.582585034,32.457142857,voller angst war ich gefangen suchte nach dem ziel
33.306122,38.719274376,hasste dieses spiel meines lebens
41.084081633,48.253968254,wahrheit war mir fremd zu schwer anerkennung galt
48.872199546,54.125714286,denn mein herz war kalt ohne liebe
60.058412698,66.242176871,jesus da wurdest du geboren
67.62122449,73.803174603,licht für meine dunkelheit
75.427120181,80.74739229,hoffnung meiner kalten seele
81.204897959,87.198185941,trost in not und leid jesus
89.466122449,95.770702948,du hast alles selbst erlebt hast den thron verlassen
97.123265306,102.22585034,fühltest lieben hassen dieser welt
104.922267574,111.827301587,du verstehst das tiefste leid blindheit weicht vor dir
112.576507937,117.893514739,schenkst dein licht auch mir jesus
120.450612245,126.879637188,für dein kommen ehr ich dich majestät vom all
128.171247166,134.002358277,legst dich in den stall meines lebens
139.334240363,145.380136054,jesus du wirst in mir geboren
147.020045351,153.068843537,licht für meine dunkelheit
154.796190476,160.191564626,hoffnung meiner kalten seele
160.558730159,166.548027211,trost in not und leid jesus
168.378412698,173.914557823,jesus du wirst in mir geboren
176.053696145,181.925442177,licht für meine dunkelheit
183.812063492,189.222312925,hoffnung meiner kalten seele
189.572063492,200.759727891,trost in not und leid jesus jesus
