start_time,end_time,lyrics_line
0.355555556,3.389387755,wenn ihr so weiter macht verspielt ihr meine zukunft
3.938684807,5.236099773,seid ihr doof
8.002539683,9.636281179,vor dem küchenfenster
12.379138322,13.920362812,steht ein alter baum
16.520997732,18.361179138,so alt wie er ist
21.013333333,22.275918367,krieg ich das grauen
25.414603175,27.689795918,der baum der steht da seit jahren
29.805714286,32.159637188,schon lang bevor wir da waren
34.217142857,36.022857143,auch wird er nicht vergehn
38.674285714,40.542040816,wenn die natur lässt es geschehen
45.313015873,46.806349206,der baum braucht nicht viel
46.920634921,48.863492063,er will nur überleben
48.863492063,50.496507937,nehmt euch ein beispiel
50.496507937,53.298503401,hört auf nach reichtum zu streben
53.298503401,55.263492063,der baum der braucht nicht viel
55.469569161,57.626122449,er will nur überleben
57.626122449,59.26893424,nehmt euch ein beispiel
59.26893424,61.96244898,hört auf nach reichtum zu streben
65.369977324,67.604897959,wenn er könnte würd er erzählen
69.752743764,71.94122449,wer schon alles unter ihm saß
74.193560091,75.872653061,ihm ist's egal
78.347029478,80.137142857,er kennt keinen rassenhass
83.031655329,85.333333333,die parteien die regieren
87.455056689,89.614512472,sind ihm total egal
91.595464853,93.627210884,er spendet seine früchte
96.007256236,98.046258503,dadurch ist er sehr sozial
102.66122449,104.264852608,der baum braucht nicht viel
104.264852608,106.198639456,er will nur überleben
106.198639456,107.849433107,nehmt euch ein beispiel
107.849433107,110.621315193,hört auf nach reichtum zu streben
110.621315193,112.631292517,der baum der braucht nicht viel
112.859863946,115.011337868,er will nur überleben
115.011337868,116.633106576,nehmt euch ein beispiel
116.633106576,119.430385488,hört auf nach reichtum zu streben
122.692063492,124.894331066,doch gibt es idioten
126.868027211,129.066666667,die seine schönheit nicht sehn
131.537414966,133.202721088,für ein bisschen kohle
135.963718821,137.740770975,lassen sie ihn nicht stehn
160.0,161.621768707,der baum braucht nicht viel
161.621768707,163.53015873,er will nur überleben
163.53015873,165.202721088,nehmt euch ein beispiel
165.202721088,167.934693878,hört auf nach reichtum zu streben
167.934693878,169.826394558,der baum braucht nicht viel
170.150022676,172.335600907,er will nur überleben
172.335600907,173.990022676,nehmt euch ein beispiel
173.990022676,176.867936508,hört auf nach reichtum zu streben
