start_time,end_time,lyrics_line
36.203174603,37.258594104,es ist weit gefehlt
37.398639456,38.391836735,dass es immer quält
38.496145125,39.427755102,wenn ein musiker schlicht
39.514557823,40.684263039,von seinem alltag spricht
40.756462585,41.912018141,sei's melancholie
42.004897959,43.07845805,oder hysterie
43.07845805,43.993106576,wenn ich ehrlich bin
44.520634921,45.200544218,hab' ich das nie
45.367800454,46.525170068,dieses magische greifen
46.525170068,47.566077098,nach der neuen idee
47.664399093,48.809070295,was nur möglich sei
48.809070295,49.879365079,mit der guten fee
49.970068027,51.057777778,ist 'ne ideologie
51.115827664,52.125895692,von anfang an
52.20861678,53.260770975,und genau besehen
53.369614512,54.459501134,ist da gar nichts dran
54.800907029,56.441904762,komponiern und dichten
56.798911565,57.910204082,als bräuchte man nur
57.910204082,59.158639456,von den musen berichten
59.158639456,60.134693878,so ist es nicht
60.206802721,61.201995465,denn wenn alles bricht
61.375056689,62.476190476,nimmt man doch rückzug
62.55600907,63.587845805,zu lug und trug
63.660770975,64.684988662,einen song zu schreiben
64.684988662,65.767619048,ist keine göttliche gunst
65.922902494,67.094058957,es ist im doppelten sinne
67.265306122,68.228571429,einfach kunst
68.228571429,69.378684807,ein profanes geschehen
69.378684807,70.327437642,wie 'ne schraube dreh'n
70.516099773,71.570430839,mit geduld und mut
71.665487528,73.662403628,wird alles gut
75.409705215,81.661678005,uh ahja ehjo
81.786848073,82.941133787,ich mach' musik musik
83.09478458,84.3261678,weil es mich schon immer trieb
84.511927438,90.90031746,uh ahja ehjo
90.961269841,92.10122449,ich mach' musik musik
92.252879819,93.526349206,every day and every week
111.658956916,112.780045351,doch an manchen tagen
112.780045351,114.013605442,ist es einfach schwer
114.013605442,114.895238095,da wünscht ich mir
114.973605442,115.954285714,solche musen daher
116.239092971,117.26984127,die mir sagen wie's geht
117.375056689,118.479818594,und mich einfach küssen
118.479818594,119.658231293,und der song sich schreibt
119.658231293,120.770975057,ohne grübeln zu müssen
120.770975057,121.671655329,doch die grübelei
121.857596372,122.884353741,ist auch was schönes dabei
123.096598639,124.234013605,dass du suchst und suchst
124.234013605,125.384126984,manchmal kräftig fluchst
125.384126984,126.467482993,keinen ausweg siehst
126.531337868,127.55446712,und in trübsinn fliehst
127.65170068,128.838095238,doch du kommst wieder raus
128.838095238,129.619591837,mit einem neuen
130.229115646,131.430748299,ohrenschmaus
134.513197279,135.650975057,ja was neues zu hör'n
135.650975057,136.69877551,das es noch nicht gab
136.763718821,137.816235828,ist der ganze turn
137.909115646,138.88,ist der helle tag
138.942403628,140.203174603,es ist ein hochgefühl
140.203174603,141.289795918,dass sich in dir aufstellt
141.3569161,142.525170068,ein warmer regen
142.525170068,143.647346939,der aus dir rausquellt
143.647346939,144.770612245,ganz allein dafür
144.851882086,145.863219955,lohnt der aufwand schon
145.960634921,147.087528345,und die neuen töne
147.087528345,148.071836735,sind der höchste
148.552562358,154.883265306,uh ahja ehjo
154.953287982,156.072108844,ich mach' musik musik
156.217687075,157.456326531,weil es mich schon immer trieb
157.672562358,164.006530612,uh ahja ehjo
164.097959184,165.220498866,ich mach' musik musik
165.366712018,166.562539683,every day and every week
203.102040816,204.2369161,zu den schönsten sachen
204.2369161,205.37324263,am musik machen
205.37324263,206.512471655,gehört der jam
206.512471655,207.705396825,den andre entfachen
207.705396825,208.767346939,du gemeinsam suchst
208.767346939,209.943219955,und gemeinsam findest
209.943219955,210.971156463,ohne dass du dich
211.078095238,212.136054422,nur an formen bindest
212.334875283,213.342403628,ins blaue hinein
213.342403628,215.163718821,zu viert zu drei'n oder zwei'n
215.163718821,216.141496599,ist ein geschehen
216.141496599,217.238639456,mit göttlichen weihen
217.51292517,218.192108844,communio
218.192108844,219.080272109,im engsten sinne
219.080272109,220.110657596,eine einigkeit
220.110657596,221.461768707,in der ich mich gewinne
223.96553288,230.238911565,uh ahja ehjo
230.372789116,231.51292517,ich mach' musik musik
231.653514739,232.964353741,weil es mich schon immer trieb
233.099319728,239.394829932,uh ahja ehjo
239.528344671,240.683537415,ich mach' musik musik
240.796734694,242.189931973,every day and every week
