start_time,end_time,lyrics_line
20.427755102,23.216326531,weißt du noch damals
23.268571429,26.4,als wir durch die straßen gingen
26.925714286,29.396462585,weißt du noch damals
29.396462585,32.626938776,als die revolution in den köpfen war
33.413877551,35.857959184,und damals dachten sie
36.045714286,39.503673469,sie wären unbesiegbar
39.918367347,42.58829932,und damals fühlten sie sich
42.58829932,46.127891156,zusammen einfach unschlagbar
66.372789116,68.578684807,heute sind sie
68.777142857,71.720634921,in seattle und cancun
72.357006803,74.993197279,streiten für freiheit
75.265306122,78.679365079,und für revoluzzer ruhm
79.15755102,81.364172336,sie rufen gemeinsam
81.56952381,84.702040816,zur letzten großen schlacht
85.407346939,87.89478458,den hüttenfrieden
88.252517007,91.385034014,rohe gewalt kostet macht
91.896598639,95.647346939,und ich steh' auf der straße ich steh auf der straße
95.337142857,98.591927438,und weiß nicht was soll ich und weiß nicht was soll ich
98.591927438,101.73968254,ich bin nicht dagegen ich bin nicht dagegen
101.842721088,105.389206349,ich bin nicht dafür und ich bin nicht dafür
105.038367347,108.642539683,ich fühl meine ohnmacht ich fühl meine ohnmacht
108.340680272,111.652063492,und geh jetzt nach hause und geh jetzt nach hause
111.525442177,115.248253968,wo seid ihr denn alle wo seid ihr denn alle
114.825578231,117.414603175,die bühne gehört jetzt dir
144.041360544,148.347936508,die revolution gehört die revolution
147.324081633,151.65968254,die revolution gehört die revolution
150.539319728,154.686984127,die revolution gehört die revolution
153.758911565,160.223492063,die revolution gehört die revolution
