start_time,end_time,lyrics_line
11.209433107,15.880634921,ella es un misterio para la humanidad
16.61968254,21.048888889,no hay leyenda alguna que revele su verdad
21.908027211,26.567619048,viaja entre las sombras es la eterna oscuridad
27.382131519,31.273650794,deja que te cuente un poco mas
32.699501134,37.234285714,cabellos de plata y mirada de cristal
38.022675737,42.422857143,una piel radiante y oscura como el mar
43.226848073,47.857777778,las criaturas duermen con su arrullo angelical
48.66031746,52.891428571,deja que te cuente un poco mas
53.69324263,60.739047619,y dicen que ella vive aqui desde hace años
61.651882086,63.715555556,y qué pocos la veran
64.275736961,71.662585034,y dicen que nadie pudo olvidar su canto
75.363265306,79.908571429,ella es un misterio para la humanidad
80.703854875,85.111292517,pero nadie duda de su inmortalidad
86.027029478,90.196462585,nadie le hace sombra es la eterna oscuridad
91.364716553,95.299047619,deja que te cuente un poco mas
96.693696145,101.355102041,fue incomprendida a causa de su gran poder
102.03138322,106.575238095,algo en su mirada puede hacerte estremecer
107.32553288,111.379591837,carga con heridas que no dejan de doler
112.695147392,116.692244898,deja que te cuente un poco mas
117.611972789,124.839909297,y dicen que ella vive aqui desde hace años
125.637369615,127.660408163,y qué pocos la veran
128.275736961,135.984761905,y dicen que nadie pudo olvidar su canto
138.954013605,149.281088435,uooo uooo uooo uooo
149.704852608,156.891428571,uooo uooo oo oooo
160.040634921,167.678548753,y dicen que ella vive aqui desde hace años
168.344671202,170.475102041,y qué pocos la veran
170.971428571,180.93569161,y dicen que nadie pudo olvidar su canto uooo uooo
181.73968254,191.889705215,uooo uooo uooo uooo
192.354104308,202.193560091,uooo uooo oooo oooo
