start_time,end_time,lyrics_line
16.48,19.330612245,komm her komm her komm her zu mir
19.994920635,23.260408163,du hast drei wünsche frei komm und sag was wünschst du dir
23.842539683,26.791836735,komm her komm her komm her mein kind
27.362539683,30.756281179,ich hab' für dich drei nüsse die für deine wünsche sind
31.065396825,34.131882086,drei nüsse das ist cool mann wie im film vom aschenbrödel
34.458412698,37.040181406,endlich schluss mit all den sorgen von gestern
37.328253968,40.613151927,heute und morgen geht nur noch die party ab her mit den nüssen
40.768435374,46.409433107,ich geh ins kdw zum shoppen korken knallen hüllen fallen und die popkörner poppen
46.702222222,49.847437642,nie wieder das gerödel und nie wieder füsse küssen
50.142040816,53.706666667,meine eier muss ich nicht mehr bei der nachbarin ausborgen
53.706666667,57.234285714,ich nehm geld auto yacht 'n paar von den krassesten schnitten
57.407346939,61.14829932,du weißt die echten luxusteile mit den monster großen augen
61.283265306,64.657414966,und die andere sollen sich meine tracks aus dem netz runtersaugen
64.957823129,68.225306122,ich sag an was geht und muss nicht mehr um anerkennung bitten
68.225306122,71.098049887,komm her komm her komm her zu mir
71.654603175,75.057052154,du hast drei wünsche frei komm und sag was wünschst du dir
75.596190476,78.526984127,komm her komm her komm her mein kind
79.069750567,82.274104308,ich hab' für dich drei nüsse die für deine wünsche sind
82.274104308,83.941405896,ok das war 'n bisschen viel
84.094693878,87.609795918,ich nehm' nur cash die anderen sachen kann ich kaufen obwohl
87.830204082,90.084716553,dann würd' ich nicht in der rotation laufen
90.366258503,94.065487528,wunsch nr zwei ist also ein fetter hit aber nein
94.261405896,97.770521542,da fällt mir ein gedopter erfolg kann nicht befriedigend sein
97.998367347,100.745578231,ok also was ist mit den weibern
100.995192744,105.025306122,ich als hahn im korb voll mit gepiercten leibern ist das wirklich geil
105.025306122,107.659319728,mechanischer sex und von keiner geliebt
108.048253968,111.676371882,und keine die auf mich von herzen auch nur zehn cent gibt
111.875555556,113.059410431,das ist doch scheisse mann
113.240816327,117.105487528,ich bin nicht wie die leitenden reichen auf ihren riesigen booten
117.376870748,118.751201814,die sich liebe kaufen
119.654603175,121.009342404,die seelisch toten
121.498412698,124.962539683,wer steht schon auf den sex und style der reitenden leichen
127.276190476,130.118820862,komm her komm her komm her zu mir
130.763174603,134.028480726,du hast drei wünsche frei komm und sag was wünschst du dir
134.686984127,137.63047619,komm her komm her komm her mein kind
138.141315193,141.417142857,ich hab' für dich drei nüsse die für deine wünsche sind
156.033015873,162.390204082,und überhaupt es wär' doch traurig auf der yacht rumzulungern während anderswo die menschen verhungern
162.620952381,166.080181406,und jeden tag die hummerstückchen aus der schale zu nagen
166.266485261,169.528888889,wenn nebenan die raketen in wohnzimmern einschlagen
170.199365079,171.611428571,also bleibt nur das auto
172.019229025,174.152562358,aber könnte ein leben sinnloser sein
174.547301587,178.361179138,da kommt ne fee du hast drei wünsche frei und dir fällt nur auto ein
178.745396825,183.212698413,für die wichtigen dinge liebe glück und respekt reicht kein frommer wunsch
183.459410431,184.43755102,das hab ich gecheckt
184.877278912,186.836462585,du gehst mir voll auf die nüsse fee
187.431111111,189.049251701,keiner hat dich hier vermisst
189.219410431,192.208979592,also pack deine scheiß nüsse ein verpiss dich
192.812698413,193.963537415,you are dismissed
193.754920635,196.506122449,komm her komm her komm her zu mir
197.201269841,200.433197279,du hast drei wünsche frei komm und sag was wünschst du dir
201.09968254,204.040272109,komm her komm her komm her mein kind
204.645079365,207.954285714,ich hab' für dich drei nüsse die für deine wünsche sind
208.528253968,211.438367347,komm her komm her komm her zu mir
211.936507937,215.330612245,du hast drei wünsche frei komm und sag was wünschst du dir
215.911111111,218.831020408,komm her komm her komm her mein kind
219.382131519,222.729795918,ich hab' für dich drei nüsse die für deine wünsche sind
