start_time,end_time,lyrics_line
14.882539683,19.2,j'viens d'me réveiller à midi
19.446712018,25.530340136,pas pressé j'ai tout mon temps aujourd'hui
26.325623583,30.554557823,un temps printanier me sourit
30.871655329,37.124353741,j'vais glander et cette idée me ravit
38.900680272,45.157006803,peu importe qu'il n'y ait rien dans le frigo
45.587301587,49.719727891,j'me contenterai bien d'une kro
50.144217687,53.999455782,et j'fumerai la fin d'un bédo
54.882539683,61.157006803,j'me pos'rai en calbute dans le jardin
61.583673469,66.155102041,cet instant compte demain on verra bien
66.307482993,70.286802721,pas d'heure à ma montre je suis serein
70.878911565,74.875646259,une gratte quelques notes de la zik
75.446712018,81.319183673,et des potes un petit moment sympathique
82.314739229,86.308571429,on soule les voisins c'est cyclique
86.831746032,93.048163265,ces gros chiens nous menace d'appeler les flics
93.750566893,100.118639456,et j'entends les sirènes qui retentissent
100.560544218,104.655238095,c'est certainement la police
108.29569161,114.793650794,mais eux commencent à tambouriner à ma porte
115.301587302,119.40861678,en gueulant que la musique est trop forte
119.847619048,122.819047619,j'les envoie parler à mon short
132.604081633,135.00952381,outrage à agent menottes aux poings
135.00952381,137.346031746,et m'embarquant face aux voisins
137.346031746,140.146938776,eux qui sourient d'me voir emm'né poussé
140.146938776,143.761269841,a l'arrière d'la voiture
146.26031746,151.038548753,au commissariat et en calbute assis à côté d'une pute
151.038548753,154.423582766,j'attends qu'un gardien de la paix vienne me chercher
154.423582766,157.175873016,pour m'questionner
159.941950113,162.394557823,cette journée avait bien commencé
162.394557823,164.749206349,j'vois pas ce qui a pu merder
164.749206349,167.027664399,le son trop fort c'est ridicule
167.027664399,168.971428571,maint'nant je suis en cellule
169.157369615,175.522539683,mais j'continue encore à faire la fête
175.858503401,179.941587302,avec les putes et leurs proxénètes
180.589569161,183.492970522,j'avais gardé un p'tit pet'
184.014512472,190.359365079,la cellule on va vraiment l'enfumer
190.755555556,194.940952381,je m'en fous y peut plus rien m'arriver
195.417687075,197.958095238,moi j'suis déjà enfermé
198.889795918,205.318095238,mais j'continue encore à faire la fête
205.72154195,209.838730159,j'fais tourner l'joint j'fais des soufflettes
210.282086168,213.287619048,et ça nous monte à la tête
213.736054422,220.043174603,la cellule on l'a vraiment l'enfumée
220.458956916,224.634920635,je m'en fous y peut plus rien m'arriver
225.117460317,228.739047619,j'suis toujours en liberté
