start_time,end_time,lyrics_line
19.467755102,23.935510204,ya casi esta anocheciendo y me puse a recordar
24.290612245,28.715102041,ya casi esta anocheciendo y me puse a recordar
29.057959184,33.427301587,las costumbres de mi abuelo cuando se ponia a pescar
33.880816327,38.298412698,las costumbres de mi abuelo cuando se ponia a pescar
38.703673469,43.212698413,afinaba su guitarra y recojia la atarraya
43.503673469,48.02031746,afinaba su guitarra y recojia la atarraya
48.290612245,52.380952381,llenaba alguna tinaja y a esperar la madrugada
53.087346939,57.053877551,llenaba alguna tinaja y a esperar la madrugada
57.266938776,60.142222222,y que cantaba mi abuelo
60.297142857,62.201904762,de noche con su guitarra
62.266122449,64.815238095,que cantaba mi abuelo
65.073922902,66.946031746,canciones que hoy ya no cantan
67.053061224,69.87755102,que cantaba mi abuelo
69.87755102,71.753650794,al irse de madrugada
71.897687075,74.445714286,que cantaba mi abuelo
74.666666667,76.672290249,canciones que hoy ya no cantan
98.034285714,99.510204082,y este es mi esencia
99.963356009,101.48244898,la esencia de mis abuelos
102.240362812,104.36244898,la cumbia
105.155918367,105.893877551,ay mama
125.064489796,129.312653061,ya casi esta amaneciendo y el viejo esta preparao
129.854693878,134.292244898,ya casi esta amaneciendo y el viejo esta preparao
134.646712018,139.188027211,se encomineda al padre santo y se toma el cafè colào
139.486621315,143.987755102,se encomineda al padre santo y se toma el cafè colào
144.290612245,148.803265306,alista ya su canoa y le monta la atarraya
149.088072562,153.596734694,alista ya su canoa y le monta la atarraya
153.853968254,158.262857143,le da un besito a la vieja y no olvida su guitarra
158.702585034,162.940226757,le da un besito a la vieja y no olvida su guitarra
162.940226757,165.769795918,y que cantaba mi abuelo
165.887346939,167.728979592,al irse de madrugada
167.869387755,170.422857143,que cantaba mi abuelo
170.689886621,172.679546485,la cumbia que hoy ya no cantan
172.679546485,175.826938776,que cantaba mi abuelo
175.497142857,177.332244898,al irse de madrugada
177.485714286,180.032653061,que cantaba mi abuelo
180.27755102,182.256326531,la cumbia que hoy ya no cantan
201.878639456,206.336870748,hoy conservo la guitarra su canoa y la atarraya
206.679365079,211.066122449,le doy un beso a mi negra y me voy de madrugada
211.441632653,215.888979592,y canto yo las canciones las que le viejo me enseñaba
216.290612245,220.414693878,hoy entono las canciones las cumbias que el me enseñaba
220.414693878,223.30122449,y que cantaba mi abuelo
223.484081633,225.39755102,de noche con su guitarra
225.459591837,228.016326531,que cantaba mi abuelo
228.271020408,230.164897959,canciones que hoy ya no cantan
230.233469388,233.441814059,que cantaba mi abuelo
233.084081633,234.948208617,al irse de madrugada
235.08244898,237.635918367,que cantaba mi abuelo
237.864489796,239.947755102,la cumbia que hoy ya no cantan
241.466122449,243.160816327,cumbia
243.905306122,248.610612245,con internacional nando malo y su sonora
248.999183673,250.233469388,si si si si
