start_time,end_time,lyrics_line
15.7162115179,18.7304162629,i see your face everywhere that i go
18.7304162629,20.62,on the clouds in the sky
20.6414825624,22.67,on the faces of strangers
23.0304093885,24.36,the birds sing your name
24.3749215833,26.2000407549,and the fish try to talk
26.2000407549,30.42,'cause without you the world would be too dark to matter
30.4893249575,32.06,you're like the sun
32.3488384687,33.7363493494,you're so far away
33.7363493494,35.6,but your light shines on
36.1341508501,37.51,and brightens each day
37.5353347604,39.52,when you're not around
39.8237035621,42.66,you make it worthwhile to expect you
43.2647802899,45.0,you're like the sun
45.4362590399,48.93,you turn on a switch and the gloom is gone
49.2530343763,52.51,you gave me my life and you carry on
53.0135418681,56.42,without ever wanting a thank you
57.3775340658,59.25,you're like the sun
73.8206539629,76.8340803747,everyone loves you and wants you around
76.8340803747,78.7036202097,but it's me most of all
78.7036202097,80.79,for my own selfish reasons
81.1906043323,82.46,you paint my sky blue
82.512770272,84.26,and you spin my earth 'round
84.340584515,86.19,so don't leave me alone
86.2726223453,88.59,'cause i can't stand to miss you
88.663955459,90.17,you're like the sun
90.4924391339,91.88,you're so far away
91.8960095842,93.78,but your light shines on
94.2597734321,95.63,and brightens each day
95.6736932369,97.67,when you're not around
98.0203699169,101.26,you make it worthwhile to expect you
101.4313969677,103.29,you're like the sun
103.6017753423,107.03,you turn on a switch and the gloom is gone
107.3302067663,110.8,you gave me my life and you carry on
111.1797476137,114.53,without ever wanting a thank you
115.4658213369,117.37,you're like the sun
131.4580346149,133.25,you're like the sun
133.6021435558,134.95,you're so far away
134.9555322562,136.8,but your light shines on
137.3587382318,138.73,you brighten my days
138.7770266653,140.77,when you're not around
141.12474163,144.56,you make it worthwhile to expect you
146.5281247472,148.3,you're like the sun
148.604740813,152.05,you turn on a switch and the gloom is gone
152.3998000603,155.8,you gave me my life and you carry on
156.1345680473,159.16,without ever wanting a thank you
160.52287058,160.52287058,you're like the sun
