start_time,end_time,lyrics_line
17.632653061,21.420408163,soy un fantasma que
21.947210884,25.321360544,se asusta de si mismo
26.410521542,30.435555556,un hueco dentro de otro hueco
30.763537415,34.063673469,que solo el aire atraviesa
35.121632653,39.259138322,la tristeza es muy extraña
39.379591837,43.518911565,se alimenta de la belleza
43.907482993,51.467029478,ah ah ah ah ah ah
52.540952381,56.505759637,soy el sombrero de un mago
56.942585034,60.13968254,donde no hay un conejo
61.335510204,65.271292517,un beso que no deja huella
65.697959184,68.870385488,ni palpita en el recuerdo
70.086530612,74.234195011,la tristeza es muy extraña
74.300952381,78.75047619,se alimenta de la belleza
96.187210884,128.545668934,ooh ooh ooh ooh
131.117278912,135.299773243,la tristeza es muy extraña
135.443809524,139.872653061,se alimenta de la belleza
144.137142857,154.213877551,ooh ooh oh ooh ooh oh
