start_time,end_time,lyrics_line
22.668480726,24.726349206,ich will entfliehen
25.549206349,29.556825397,dem käfig der mich hält
30.328888889,33.381587302,lass' dich allein zurück
34.001632653,37.44,folge dem was mich ruft
38.530612245,41.457777778,nächte lang geredet
41.769795918,45.495873016,geweint geschworen versöhnt
46.256326531,49.386666667,gesteh doch endlich ein
50.041904762,53.12,all das macht nicht frei
53.812244898,57.026031746,ich folge meinem herzen
57.747301587,60.617142857,woher es auch ruft
61.753469388,65.254603175,und flieg mich frei von jedem zwang
65.547029478,69.038730159,ein käfig ist zu klein
69.79047619,72.604444444,für das was ich leben will
73.955555556,77.186031746,leben will
78.60244898,81.650793651,ich würde viel geben
82.544761905,85.404444444,könnt ich dir schmerz ersparen
85.988571429,89.417142857,doch dies geb ich nicht
89.772698413,93.309387755,meine freiheit gehört mir
126.846984127,129.841632653,greif die chance
130.780589569,133.313015873,fasse mut
133.804988662,137.449795918,befreie dich auch
137.752380952,147.800816327,befreie dich von mir
149.72952381,153.112380952,ich folge meinem herzen
153.785759637,156.699863946,woher es auch ruft
157.797006803,161.291609977,und flieg mich frei von jedem zwang
161.497687075,165.064852608,ein käfig ist zu klein
165.77015873,168.67845805,für das was ich leben will
169.987482993,173.424036281,leben will
174.329614512,177.436734694,erfüllung deiner träume
178.57015873,181.56553288,will ich dir wünschen
181.84707483,185.16462585,erbaue dir eine neue welt
185.789387755,189.946485261,einen käfig der sie hält
