start_time,end_time,lyrics_line
21.362358277,27.662222222,der himmel zeigt statt der engel lauter wolken
28.310204082,37.983492063,einem stern wolltest du folgen doch der weltraum schweigt
40.257596372,46.628571429,es ist alles still und du betest um dem rauschen
47.473922902,56.587029478,eine botschaft abzulauschen die nicht kommen will
78.968163265,80.828662132,du liest und fragst
81.049251701,85.019863946,warum durften jene wissen
85.860136054,90.07600907,wo wir heute glauben müssen
91.834920635,95.103129252,und du beklagst
98.213151927,99.967709751,es ist nicht recht
100.253605442,104.234376417,jene durften wunder schauen
105.092063492,108.936417234,und wir müssen blind vertrauen
110.759183673,113.893877551,doch das kannst du schlecht
117.659863946,126.164172336,wenn gottes stimme unhörbar ist dann weil du nicht leis genug bist
126.965986395,135.778684807,wenn jedes wunder erklärbar ist dann weil du schon viel zu klug bist
136.881632653,145.414965986,wenn gottes stimme unhörbar ist dann weil du nicht leis genug bist
146.496145125,155.109297052,wenn jedes wunder erklärbar ist dann weil du schon viel zu klug bist
196.292789116,202.610068027,übers dünne eis folgst du dunklen fußabdrücken
203.450340136,207.629931973,kannst den vor dir nicht erblicken
209.153741497,212.288435374,da ist kein beweis
215.492789116,221.968253968,da ist nichts zu sehn nur ein fast unhörbar leises
222.563265306,226.975056689,sprödes knistern dünnen eises
228.368253968,232.67845805,doch du bleibst nicht stehn
