start_time,end_time,lyrics_line
6.693877551,9.328979592,guayeteo ah
10.168163265,18.739591837,hace tiempo no sale a perrear ye to' mundo puesto pa guayetear ah
19.213061224,23.434013605,dj ponga el perreo to' el mundo puesto pal guayeteo
23.725714286,25.87755102,las gatas solo piden perreo
26.12244898,29.340408163,el que no baile le sacamo' el dedo eh oh
29.407346939,33.465759637,dj ponga el perreo to' el mundo puesto pal guayeteo
33.799183673,35.998185941,las gatas solo piden perreo
36.222040816,40.107029478,el que no baile le sacamo' el dedo eh oh
39.399183673,43.030204082,llegaron los del equipaje se soltaron los perros salvajes
43.030204082,43.160090703,ouuh
43.340408163,45.473015873,pa' que las babys se quiten todo el traje
45.880816327,48.045351474,se nota que tienen el tigueraje
48.416507937,50.579591837,que se quiten el panty cero visaje
50.303492063,52.965079365,en ambiente y que las gatas se pongan calientes
53.131609977,55.457596372,pastillas de to' colore y pongase indecente
55.671292517,57.864126984,no le gustan serios ni con porte inocentes
57.864126984,60.546031746,le gustan los tipos malos y con cara de maleantes
60.383492063,63.007709751,mas duro mas phillie mas sexo bien duro
63.357460317,65.44399093,esto va como un rifle sin seguro
66.05968254,68.06893424,mas duro mas phillie bien duro
68.571428571,69.614512472,la madre pal que no
69.768707483,73.902947846,dj ponga el perreo to' el mundo puesto pal guayeteo
74.291156463,76.418594104,las gatas solo piden perreo
76.662131519,79.980045351,el que no baile le sacamo' el dedo eh oh
79.980045351,84.03537415,dj ponga el perreo to' el mundo puesto pal guayeteo
84.362811791,86.528798186,las gatas solo piden perreo
86.768253968,90.599546485,el que no baile le sacamo' el dedo eh oh
90.699319728,91.882086168,cuidao que se te ve
92.2430839,93.166439909,cuando te guaye
93.521995465,95.619501134,mientras que lo hacemos pegadito a la pared
95.735147392,98.258503401,te encanta cuando nos ponemos calientes
98.258503401,100.634920635,se siente que el perreo esta muy salvaje
100.634920635,103.5138322,lo guayan deli maki combo kawasaki
103.648072562,106.009795918,como un plato fuerte servido a lo teriyaki
106.129705215,108.600816327,con este perreo le subimos to' el ranking
108.69260771,111.160816327,como el oso rompiendo en los tiempos taki taki
111.247165533,115.595102041,ohhhh guayeteo pal barrio
115.970975057,118.813061224,yeah
120.248526077,124.472108844,dj ponga el perreo to' el mundo puesto pal guayeteo
124.810884354,126.920634921,las gatas solo piden perreo
127.167346939,130.375510204,el que no baile le sacamo' el dedo eh oh
130.48707483,134.574693878,dj ponga el perreo to' el mundo puesto pal guayeteo
134.86984127,137.022040816,las gatas solo piden perreo
137.275283447,141.173877551,el que no baile le sacamo' el dedo eh oh
141.835827664,142.589387755,sencillo
143.071201814,143.913469388,jhoyking el duro
144.985034014,145.88244898,santos
146.276643991,146.863673469,dc
147.537414966,148.155102041,tele
148.489795918,149.817142857,los diablos con los diablos
150.1569161,150.544671202,ok
150.673922902,151.890612245,se jodio esta pendeja
