start_time,end_time,lyrics_line
18.6199806062,19.97,lay awake at night
20.8442601876,22.19,wondering how could i
23.022988318,24.41,let it get this way
27.4613023298,28.85,through all the pain
29.4815254882,31.07,i took all the blame
31.9374286656,33.58,while you cursed my last name
36.1861069028,38.16,i thought we could get better
38.451706337,39.97,stayed committed like a soldier
40.9698500952,42.6,believed we're okay
44.4153606944,52.36,now i know that you don't care at all
53.5652796207,55.22,time wasted
55.2363504491,61.06,gave all of my soul and my heart to someone that would never
61.112488467,62.19,give me the same
62.5200345079,69.94,i was a fool to believe that you would finally be the one to
69.9486470936,71.29,give me the same
71.292687344,74.97,heartbroken now
75.7918863688,78.85,how you let me down
79.6428216872,85.24,but somehow deep down i still do
86.0039027746,88.48,love you
91.8908978686,93.22,now your out all night
94.4600201527,95.45,telling your lies
96.2922185988,97.75,about the way i hurt you
98.4243070423,99.97,they couldn't see the way
100.6925103225,102.19,you made me feel ashamed
103.0606573374,105.24,for choosing to love you
107.437084448,109.27,i began to see clearer
109.8657447805,111.06,that you were just a liar
112.1168900284,113.9,stuck in your ways
115.3281151816,124.62,so now i choose to walk away forever
124.6616612781,126.33,time wasted
126.3366056112,132.18,gave all of my soul and my heart to someone that would never
132.2135236217,133.3,give me the same
133.5466055692,141.06,i was a fool to believe that you would finally be the one to
141.1735837027,142.18,give me the same
142.5358511588,146.34,heartbroken now
146.8910389843,150.8,how you let me down
150.8309373493,156.35,but somehow deep down i still do
157.1335342781,159.21,love you
160.5866987351,165.2614419074,how could you just throw it all away babe
165.2614419074,168.87,how could you throw it all away
169.2308459548,173.81,i stayed with you through all the lies and pain
173.9435245473,177.75,through all the lies and pain oh
177.936472026,180.4166496617,tears roll down my eyes
180.4166496617,182.4826293946,tears roll down my eyes
182.4826293946,184.69,as i now realize
186.5775065172,192.6538247213,your love was never truly mine
192.6538247213,195.76,at all
195.8049059786,197.46,time wasted
197.4857200445,203.29,gave all of my soul and my heart to someone that would never
203.3366519847,204.7378769448,give me the same
204.7378769448,212.18,i was a fool to believe that you you would finally be the one too
212.204902385,213.5120306369,give me the same
213.5120306369,215.79,heartbroken now
215.9273801296,218.0289015759,heartbroken now
218.0289015759,220.79,how you let me down
220.9851284588,221.91,oh
221.9292697511,227.74,but somehow how deep down i still do
228.2950636156,229.74,love you
