start_time,end_time,lyrics_line
48.782222222,50.864761905,sigue aun mis pasos
50.864761905,52.572517007,es como una sombra
52.732517007,56.32,y vuelve a mi
57.669659864,59.319727891,y esos recuerdos
59.319727891,61.622857143,solo quise borrarlos
61.622857143,65.005714286,hoy vuelven a mi
66.546938776,70.262857143,como encontrar una via a paris
71.357823129,74.703673469,que me lleve hacia ti
75.480816327,79.124897959,como olvidar nuestra juventud
79.878095238,82.314739229,y aquella vida
104.354829932,106.031020408,algo mas que amigos
106.031020408,108.158548753,nos asusto el destino
110.218594104,112.198820862,cobardes fuimos
113.034013605,114.946031746,recuerdo su sonrisa
114.946031746,117.661315193,mi alma se alborota
118.996462585,120.964353741,necesito ya
122.463492063,125.712834467,encontrar una via a paris
126.889795918,130.449705215,que me lleve hacia ti
131.012789116,134.559637188,como olvidar nuestra juventud
135.399183673,139.52,y aquella vida
142.001632653,142.889795918,vuelvo
143.960816327,144.914285714,te veo
146.106122449,147.108571429,y pienso
148.737959184,150.040816327,hablame
150.589387755,151.41877551,vuelvo
152.528979592,154.031020408,me miras
154.648163265,155.990204082,y piensas
157.355102041,158.628571429,hablame
194.073469388,197.820952381,ya encontré una via a paris
198.863673469,202.321269841,que me lleve hacia ti
202.984489796,206.679365079,como olvidar nuestra juventud
207.389387755,211.418412698,y aquellos dias
