start_time,end_time,lyrics_line
18.542222222,20.999546485,ich werd nicht aufhören
22.968888889,24.515192744,dich zu lieben
26.303492063,30.897052154,in meinem kopf sind all deine bilder
34.989206349,41.499863946,und die erinnerung heilt nicht meine wunden
42.435555556,47.47755102,ich will dich sehen für ein paar stunden
50.485986395,53.016961451,ich kann dich nicht vergessen
54.520453515,56.499954649,es gelingt mir nicht
58.462040816,62.567619048,ich warte bis das eis zusammenbricht
66.461315193,68.897959184,ich halte es nicht mehr aus
70.514285714,72.568163265,es tut so weh
74.488163265,76.630204082,der schmerz wird stärker
76.948027211,78.733061224,wenn ich dich seh
98.503401361,101.155555556,mit deinen blauen augen
102.465306122,105.508571429,hast du mich verzaubert
106.493968254,113.676190476,du hast mein herz im sturm erobert
114.509206349,117.13015873,du bist in meinem herzen drin
118.473650794,121.24952381,so ergibt mein leben einen sinn
122.466394558,125.77015873,dein lächeln kann so schön sein
126.24,128.822857143,mein traum brach ein
130.455873016,132.794920635,ich halte es nicht mehr aus
134.478730159,136.533333333,es tut so weh
138.466031746,140.673015873,der schmerz wird stärker
141.000634921,142.801269841,wenn ich dich seh
146.488888889,148.977777778,ich kann dich nicht vergessen
150.460952381,152.511564626,es gelingt mir nicht
154.462040816,158.795464853,ich warte bis das eis zusammenbricht
162.438095238,164.78185941,ich halte es nicht mehr aus
166.482721088,168.714739229,es tut so weh
170.479455782,172.517006803,der schmerz wird stärker
173.005714286,174.846258503,wenn ich dich seh
194.511746032,197.006802721,ich kann dich nicht vergessen
198.469659864,200.736507937,es gelingt mir nicht
202.462040816,206.73015873,ich warte bis das eis zusammenbricht
210.438095238,212.81814059,ich halte es nicht mehr aus
214.478367347,216.780045351,es tut so weh
218.44462585,220.672380952,der schmerz wird stärker
221.005714286,222.772244898,wenn ich dich seh
242.491428571,245.014058957,ich kann dich nicht vergessen
246.485623583,248.794557823,es gelingt mir nicht
250.460952381,255.056689342,ich warte bis das eis zusammenbricht
