start_time,end_time,lyrics_line
28.604081633,30.423945578,mira se van corre donde van
30.775147392,33.214693878,no pierdas ni un segundo que lo vas a alcanzar
33.750204082,38.20553288,y cuando llegues si es que llegas ya te has ido y has venido parate a descansar
38.611882086,40.474920635,mira se van corre donde van
40.782947846,43.283809524,tus sueños huyeron
43.749297052,48.599365079,mientras corrias sin dudar a toda prisa intentando destacar
52.327619048,58.636190476,intentando destacar
62.354285714,68.585941043,intentando destacar
68.585941043,70.475464853,mira se van corre donde van
70.475464853,73.412789116,no pierdas ni un segundo que lo vas a alcanzar
73.755283447,78.258503401,y cuando llegues si es que llegas no te olvides parate a descansar
78.586848073,80.462947846,mira se van corre donde van
80.462947846,83.400272109,tus sueños huyeron los dejaste escapar
83.765986395,89.443265306,mientras corrias sin dudar a toda prisa intentando destacar
112.352653061,118.791836735,intentando destacar
122.348843537,123.807346939,intentando
130.054965986,134.695147392,busca un hueco en la agenda para sonreir otra vez
134.868027211,140.673015873,ooh ooh ooh ooh oh oh ooh ooh ooh ooh
140.776780045,145.795918367,que no te hunda el ritmo que te impone ese tren
146.03537415,152.137868481,ooh ooh ooh ooh oh oh ooh ooh ooh ooh
151.936870748,157.109115646,de qué sirve vivir rebosante con estrés
157.202721088,163.033106576,ooh ooh ooh ooh oh oh ooh ooh ooh ooh
163.120181406,168.2430839,esclavo de tu tiempo hazlo al revés
168.351927438,173.191111111,ooh ooh ooh ooh
173.191111111,175.131428571,mira se van corre donde van
175.131428571,178.042630385,no pierdas ni un segundo que lo vas a alcanzar
178.427936508,182.516099773,y cuando llegues si es que llegas no te olvides parate a descansar
183.238095238,185.124716553,mira se van corre donde van
185.442539683,187.646258503,tus sueños huyeron
188.408888889,192.634920635,mientras corrias sin dudar a toda prisa intentando destacar
