start_time,end_time,lyrics_line
47.080634921,50.747210884,durch diese wände dringt ein dumpfer klang
51.649886621,54.537868481,und er führt uns im kreis
55.89478458,60.371882086,was jetzt noch bleibt ist keine zeit zu verlieren
60.807256236,64.255419501,sind gefangen im labyrinth
64.848979592,69.20707483,der wille ist stark und es verlangt nach mehr
69.685260771,73.827845805,die wunde kehle erhebt ihre stimme
74.396734694,78.315102041,selbst wenn sich der geist vom körper trennt
78.825941043,87.446349206,erfüllt uns kein frieden dieser welt
101.420408163,105.984580499,der puls schlägt schneller und der hass nimmt die luft
105.984580499,110.393469388,ein feuer wächst in unserer brust
110.570521542,115.13106576,entflammte gedanken trocknen die tränen
115.13106576,120.594285714,das blut verbrennt in den venen
