start_time,end_time,lyrics_line
20.0212208859,21.76,people gonna hate let them do it
21.9040216536,21.9040216536,shine like it aint nothing to it
23.739397191,25.39,damn you a major influence
25.4426234708,27.01,skate like there aint nothing doing
27.0250905708,29.04,live life dont say nothing to them
29.6069424749,31.17,people gonna hate let them do it
31.4177099817,32.93,shine like it aint nothing to it
33.3734306907,34.99,damn you a major influence
35.0408082254,36.54,skate like there aint nothing doing
36.6345172498,38.64,live life dont say nothing to them
39.2623232823,40.86,people telling lies on me
41.0829286251,41.98,feeling like pac
42.0707431955,43.22,all eyes on me
43.4582601132,44.36,whats my next rhyme
44.4231526869,45.01,gonna be
45.2922157974,46.77,dull mother fuckers cant never ever
47.0120857437,48.22,shine off me
48.6200969115,49.35,wait for it
49.3840240026,49.98,wait for it
50.0273966018,50.76,wait for it
51.0317825875,51.0317825875,dont worry the my haters is gonna pay for it
53.3677120685,55.56,chase dreams dumb niggas chase whores
55.8835893609,57.59,over seas on a great tour
57.5995936437,59.59,or maybe im just dreaming
60.0085303248,61.529192873,it beats being with demons or
61.529192873,64.39,a nigga scheming or at least im thinking of an achievement
64.4668359858,66.1751446225,people talk shit for seasons
66.1751446225,67.12,for no reason
67.4464481348,69.52,people dog lebron until lebron show up
69.8259576616,71.9,when he step on the paint then their guards go up
71.9585814087,74.29,scores up all the applauds go up
74.3481683587,77.33,and everybody in the whole damn court goes nuts
77.652588917,79.37,people gonna hate let them do it
79.4617975914,80.93,shine like it aint nothing to it
81.3808706413,82.98,damn you a major influence
83.0130087716,84.6,skate like there aint nothing doing
84.6743344597,86.6,live life dont say nothing to them
87.2239938556,87.2239938556,people gonna hate let them do it
89.0026748176,90.52,shine like it aint nothing to it
90.9187826474,92.59,damn you a major influence
92.6418548623,94.21,skate like there aint nothing doing
94.2205833847,96.24,live life dont say nothing to them
96.4895637016,97.48,spectators
97.7102731967,98.64,side liners
98.8434038596,99.47,spending days
99.4854153311,100.96,coming up with sly comments
100.9881398599,103.63,thats psychotic why try a tarnish such a fly product
103.853557084,105.83,why be mad just cause i got hey
106.1758866856,107.02,i may never know
107.1597709606,110.0,wave to the haters that put me on the pedestal talk smack
110.1141919368,111.82,but they really know im incredible
112.1528786384,113.82,unforgettable young blue eyes
113.8310529318,115.16,the new guy is on schedule
115.4606341567,117.8,man behind bars and thats minus the federal
117.8769428137,119.3120652516,stone giant what the hell
119.3120652516,120.24,could some pebbles do
120.5301762071,122.61,while you revel in drama im building revenue
122.7882714427,125.02,tell them youll get them tomorrow their aint nothing stressing you
125.3615969695,127.22,life goes on lifes goes on
127.2348060559,129.5649133495,you was the shit even before those lights went on
129.5649133495,131.99,they gonna trash you even if they like your song
132.0607194059,134.42,people always gonna judge homie right or wrong
135.2808502128,136.96,people gonna hate let them do it
137.0750706401,138.66,shine like it aint nothing to it
138.9895053304,140.66,damn you a major influence
140.6867846529,142.27,skate like there aint nothing doing
142.3276475655,144.23,live life dont say nothing to them
144.8719022488,146.52,people gonna hate let them do it
146.5813867634,148.45,shine like it aint nothing to it
148.4756495793,150.17,damn you a major influence
150.2089345484,151.78,skate like there aint nothing doing
151.8212722191,153.83,live life dont say nothing to them
154.5077221863,155.96,we dont give a damn what you did
156.2962145886,157.94,we dont give a damn who are
158.0102411412,159.81,homie you aint down with the team
159.8702393722,161.6497596769,we dont give a damn what you think
161.6497596769,163.4,we dont give a damn what you thought
164.0549174095,165.56,we dont give a damn what you did
165.9378426059,167.56,we dont give a damn who are
167.6931385367,169.42,homie you aint down with the team
169.4950232394,170.95,we dont give a damn what you think
171.2768223454,172.95,we dont give a damn what you thought
