start_time,end_time,lyrics_line
16.642902494,18.420680272,ich habe keine lust mir das leben
18.61877551,20.175238095,von deppen vermasseln zu lassen
20.413061224,20.924081633,sag mir nicht
21.160816327,22.413061224,ich könnte was besser machen
22.413061224,24.206802721,ich habe keine lust mir das leben
24.4,25.974421769,von deppen vermasseln zu lassen
26.204444444,26.740680272,sag mir nicht
26.930612245,28.108843537,ich könnte was besser machen
28.195918367,29.683628118,ich habe keine lust darauf
29.812244898,31.455782313,dass du mich ständig korrigierst
31.629387755,32.809795918,mir sagst was ich zu tun hab
32.914285714,34.263945578,und es selber nicht probierst
34.331428571,35.435102041,keine lust darauf
35.601632653,37.185306122,dass du ewig dazwischenfunkst
37.414603175,38.721884354,mir dauernd alles vorhältst
38.721884354,40.080544218,und es selber nicht versuchst
40.130612245,41.273469388,keine lust darauf
41.396825397,42.978684807,immer das selbe zu hören
42.978684807,44.395102041,hältst es wohl nicht für möglich
44.468027211,45.792653061,dass mich sowas manchmal stört
45.908390023,47.077006803,keine lust darauf
47.18185941,48.620408163,immer das selbe zu tun
48.620408163,50.054965986,ich hab keinen bock mehr drauf
50.251247166,51.574421769,also lass mich doch in ruh'
51.692698413,52.458231293,keine lust
52.777142857,54.57414966,nein nein nein nein
54.57414966,56.285170068,keine lust
57.121088435,58.222585034,ich hab keine lust
58.557823129,60.358095238,nein nein nein nein
60.358095238,62.450068027,keine lust ey
62.907210884,64.335238095,ich habe keine lust darauf
64.535873016,66.072380952,dass du mich ewig fertig machst
66.337959184,67.435102041,mich immer kritisierst
67.435102041,68.989387755,und dabei selber gar nichts schaffst
69.059047619,70.28244898,keine lust dadurch
70.497959184,71.928163265,dass du dauernd etwas hast
72.279365079,73.34993424,nie passt dir was
73.34993424,74.740680272,sondern sagst ich hätt' versagt
74.827755102,76.181768707,keine lust darauf
76.264126984,77.712108844,meistens schuld zu sein
77.712108844,79.161904762,du kriegst gar nichts auf die reihe
79.161904762,80.503219955,und lässt dich auf nichts ein
80.592108844,81.793741497,keine lust darauf
82.061496599,83.49170068,immer lust haben zu müssen
83.814603175,84.719455782,schließlich musst du ja
84.939319728,86.291156463,immer alles besser wissen
86.378231293,87.780136054,keine lust mir das leben
88.010884354,89.565170068,von deppen vermasseln zu lassen
89.817687075,90.392380952,sag mir nicht
90.534603175,91.807346939,ich könnte was besser machen
91.807346939,93.592380952,ich habe keine lust mir das leben
93.798095238,95.355646259,von deppen vermasseln zu lassen
95.573333333,96.134965986,sag mir nicht
96.339591837,97.597460317,ich könnte was besser machen
97.597460317,98.76462585,ich hab keine lust
99.045079365,100.843537415,nein nein nein nein
100.843537415,102.635102041,keine lust
103.392653061,104.563809524,ich hab keine lust
104.822857143,106.620952381,nein nein nein nein
106.620952381,108.817414966,keine lust ey
109.17877551,110.698231293,ich hab keine lust darauf
110.783129252,112.496326531,das du mich ständig attackierst
112.61170068,113.871746032,mir sagst was ich zutun hab
113.871746032,115.297959184,und es selber nicht probierst
115.297959184,116.384217687,keine lust darauf
116.560544218,118.147482993,dass du ewig dazwischen funkst
118.373877551,119.656054422,mir dauernd alles vorhältst
119.656054422,121.074285714,und es selber nicht versuchst
121.074285714,122.15292517,keine lust darauf
122.35755102,123.968435374,immer das selbe zu hören
123.968435374,125.418231293,hältst es wohl nicht für möglich
125.418231293,126.763537415,dass mich sowas manchmal stört
126.868027211,127.956462585,keine lust darauf
128.137142857,129.584761905,immer das selbe zu tun
129.584761905,131.008435374,ich habe kein bock mehr drauf
131.219591837,132.554013605,also lass mich doch in ruh'
132.645442177,134.082176871,keine lust mir das leben
134.280634921,135.867210884,von deppen vermasseln zu lassen
136.082721088,136.61170068,sag mir nicht
136.818503401,138.081088435,ich könnte was besser machen
138.081088435,139.89877551,ich habe keine lust mir das leben
140.064217687,141.662040816,von deppen vermasseln zu lassen
141.838367347,142.406530612,sag mir nicht
142.611156463,143.860680272,ich könnte was besser machen
143.860680272,144.918639456,ich hab keine lust
145.307936508,147.108571429,nein nein nein nein
147.108571429,148.710748299,keine lust
149.651156463,150.813605442,ich hab keine lust
151.085714286,152.888163265,nein nein nein nein
152.888163265,155.067210884,keine lust ey
155.445986395,156.573605442,ich hab keine lust
156.869659864,158.682993197,nein nein nein nein
158.682993197,160.34829932,keine lust
161.203809524,162.303129252,ich hab keine lust
162.664126984,164.456054422,nein nein nein nein
164.456054422,166.669931973,keine lust ey
167.003718821,168.045714286,ich hab keine lust
168.433197279,170.192108844,nein nein nein nein
170.247619048,172.125170068,keine lust
172.776054422,173.810068027,ich hab keine lust
174.219319728,175.952108844,nein nein nein nein
176.027936508,176.857687075,keine lust
177.123265306,178.914829932,nein nein nein nein
178.914829932,180.340680272,keine lust mir das leben
180.543129252,182.125714286,von deppen vermasseln zu lassen
182.339047619,182.905034014,sag mir nicht
183.083537415,184.354829932,ich könnte was besser machen
184.354829932,186.12244898,ich habe keine lust mir das leben
186.324897959,187.89877551,von deppen vermasseln zu lassen
188.109206349,188.660680272,sag mir nicht
188.8769161,190.134421769,ich könnte was besser machen
190.134421769,191.233741497,ich hab keine lust
191.560272109,193.373968254,nein nein nein nein
193.373968254,195.017142857,keine lust
195.916190476,196.985034014,ich hab keine lust
197.344217687,199.074829932,nein nein nein nein
199.154285714,201.377959184,keine lust ey
201.700136054,202.93877551,ich hab keine lust
207.481904762,208.631292517,ich hab keine lust
213.239727891,214.452244898,ich hab keine lust
219.043265306,220.312380952,ich hab keine lust
224.827936508,226.060770975,ich hab keine lust
