start_time,end_time,lyrics_line
23.7636433797,25.22,racking and jacking my mind up
25.6507600691,27.36,cannot be telling the time i
27.6137618742,28.89,don't care no
29.2404798515,30.61,i don't care no
30.941739097,33.03,you send thirty messages drunk
33.1153733822,35.03,and dirty messages drunk
35.1360439455,36.5,but i don't look
36.654091224,38.5,no i can't be to look
38.9964619043,40.66,i could not breathe
42.58399521,45.18,you took your toll on me
46.3907187322,49.21,you're suffocating please
50.2101594051,52.36,but since i watched you leave
54.2990312189,57.43,i can see for the first time
61.6702611318,64.89,and i can see for the first time
69.2752854509,72.56,and i can see for the first time
72.6328024526,74.34,for the first time
76.9327316069,80.07,and i can see for the first time
88.2497205411,89.48,you get jealous easily
90.3396640421,91.75,you did not make it easy
92.1332793651,93.76,but what was i expecting
93.9105214266,95.42,it's a very fitting ending
95.901030126,97.81,you say i hurt you bad well
97.8319197992,99.37,that was never my intent
99.6808172586,101.61,i was looking out for myself
101.6418838422,103.5,and all of my mental health
103.8867179573,106.15,i cannot breathe
107.3636237348,109.71,you took your toll on me
111.0793187537,113.79,you're suffocating please
114.9084523082,116.88,but since i watched you leave
119.0400162298,122.34,i can see for the first time
126.7116188236,129.96,i can see for the first time
134.2795517847,137.33,i can see for the first time
137.4896752531,139.01,for the first time
139.2839238437,141.01,for the first time
141.9241188015,145.2,i can see for the first time
148.492868914,152.21,there is no better deduction
152.3396217315,156.01,there is no better solution
156.1610154318,159.84,there is no better deduction
159.943300355,163.65,there is no better solution
163.8271361114,167.56,there is no better deduction
167.5992740967,171.35,there is no better solution
171.4058051372,175.18,there is no better deduction
175.2208690855,179.25,there is no better solution
183.8286298242,186.85,i can see for the first time
187.6112259305,190.5,i can see for the first time
191.3855247685,194.52,i can see for the first time
194.5463179948,196.03,for the first time
196.3658788504,198.26,for the first time
198.9965839278,202.32,i can see for the first time
202.8656182401,205.67,i can see for the first time
206.6677104934,209.6844071863,i can see for the first time
209.6844071863,211.24,for the first time
211.6868328911,213.48,for the first time
