start_time,end_time,lyrics_line
2.328526077,4.284081633,nous sommes en guerre
10.338684807,14.973968254,nous sommes en guerre guerre guerre guerre guerre guerre
24.576870748,26.676825397,chers amis nous y voici
28.429387755,30.846984127,dans ce qu'on nomme la fin des temps
32.579591837,34.636190476,fille de la technologie
36.431020408,38.684444444,grand reset ou grand remplacement
40.587755102,42.702222222,chers amis nous y voici
44.458956916,46.770793651,dansons chantons la fin des temps
48.422857143,50.722539683,car danser oui aujourd'hui
52.43755102,54.633650794,c'est déjà être résistant
56.462040816,58.895238095,devant le choc démographique
60.426122449,62.618412698,ce qu'ils veulent faire m'semble évident
64.415419501,66.813968254,pendant ce temps nos belles élites
68.429387755,69.215102041,se gavent de fric
69.304489796,70.816507937,sur notre sang
72.546938776,74.722539683,chers amis nous y voici
76.401632653,78.816507937,chantons dansons la fin des temps
80.429387755,83.012063492,dansons la même sous la pluie
84.455510204,86.816507937,pour déjouer ces cons finements
88.431020408,90.753015873,pendant qu'certains ferment boutique
92.426122449,94.816507937,d'autres se soumettant
96.380408163,98.819047619,se shootent aux tous derniers fix
100.450612245,102.806349206,si bien vendus par ces marchands
104.081632653,104.999183673,let me tell you something
110.272653061,111.873741497,est ce la fin des temps
114.462040816,115.46122449,let me tell you something
118.333061224,120.035555556,ou le grand remplacement
128.321632653,131.765986395,est ce la fin des temps ou le grand remplacement
132.27755102,135.775782313,est ce la fin des temps ou le grand remplacement
136.530612245,138.58829932,chers amis nous y voici
140.577959184,143.09877551,écoutons la prophétie
144.489795918,146.82122449,chers amis nous y voici
148.573061224,151.05015873,écoutons la prophétie
168.589387755,170.819047619,chers amis nous y voici
172.444081633,174.746122449,devant l'elysée et le parlement
176.4,178.568707483,nous les enfants de la patrie
180.401632653,182.926802721,levant nos étendards sanglants
184.520816327,186.779863946,chers nous y voici
188.37877551,190.872380952,dans l'elysée et le parlement
192.385306122,195.260952381,nous les enfants de la patrie
196.377142857,199.262040816,aux étendards si sanglants
200.519183673,203.371972789,chers amis nous y voici
204.370612245,207.563174603,ceux qui ne sont rien les sans abris
208.393469388,211.481904762,les insoumis et les sans dents
212.419047619,215.65968254,en marche vers toi président
216.51755102,219.492063492,chers nous y voici
