start_time,end_time,lyrics_line
4.834829932,6.497959184,era un dia cualquiera
7.037823129,8.599183673,en la region de wuhan
9.48244898,11.260408163,habia un pobre hombre
11.812426304,13.374693878,que no tenia ni pan
14.402176871,17.071020408,entonces algo curioso paso
17.769795918,21.704489796,un murciélago se comio y el coronavirus nacio
23.177142857,24.313469388,coronavirus
24.431020408,25.534693878,coronavirus
25.63047619,27.80244898,coronavirus virus
28.066394558,30.26122449,coronavirus virus
30.42031746,32.662857143,coronavirus virus
32.846802721,34.059319728,coronavirus
34.059319728,35.113469388,coronavirus
35.206530612,37.325170068,coronavirus virus
37.61414966,39.830204082,coronavirus virus
40.017414966,41.980408163,coronavirus
42.865124717,44.829387755,muy poquito poquito a poco
45.283265306,47.056326531,toda china se enfermo
47.69015873,49.689795918,falta de aire y estornudos
49.848163265,51.697959184,mocos y un poco de to
52.673741497,55.867755102,entonces se tomaron medidas
56.104489796,57.843265306,ya no habia otra salida
58.261405896,60.225306122,el coronavirus se expandio
61.618503401,62.680816327,coronavirus
62.814693878,63.875918367,coronavirus
63.997823129,66.107755102,coronavirus virus
66.490340136,68.517278912,coronavirus virus
68.802539683,70.891428571,coronavirus virus
71.255510204,72.334693878,coronavirus
72.450612245,73.515102041,coronavirus
73.626122449,75.769795918,coronavirus virus
76.066394558,78.116190476,coronavirus virus
78.412698413,80.355918367,coronavirus
81.236825397,83.121632653,después de unos cuantos dias
83.69414966,85.213061224,hasta italia ya llego
86.11047619,87.982040816,el papa en el vaticano
88.511564626,90.26122449,por todos ellos rezo
91.060680272,94.187755102,de nada sirvieron sus plegarias
94.48707483,96.482721088,no le dieron ni las gracias
96.707482993,98.933877551,y por europa se propago
99.98984127,101.110204082,coronavirus
101.229931973,102.336326531,coronavirus
102.419591837,104.575238095,coronavirus virus
104.875102041,106.92462585,coronavirus virus
107.213061224,109.321904762,coronavirus virus
109.609795918,110.747755102,coronavirus
110.841904762,111.934693878,coronavirus
112.042086168,114.147482993,coronavirus virus
114.438095238,116.51537415,coronavirus virus
116.813061224,118.764081633,coronavirus
119.614693878,121.694693878,entre payos y gitanos
122.084716553,123.742040816,él no hizo distincion
124.442993197,126.192653061,y ha dejado a media españa
126.850612245,128.569795918,sin calle ni profesion
129.399727891,132.373877551,y ahora estamos todos arruinados
132.843537415,134.811428571,y esta historia no ha acabado
135.292517007,137.288163265,y yo canto esta cancion
138.385124717,139.449795918,coronavirus
139.618684807,140.690612245,coronavirus
140.832653061,143.085714286,coronavirus virus
143.266394558,145.319183673,coronavirus virus
145.606530612,147.72244898,coronavirus virus
148.015600907,149.015510204,coronavirus
149.202721088,150.241632653,coronavirus
150.404353741,152.636734694,coronavirus virus
152.835918367,154.914285714,coronavirus virus
155.207981859,157.180408163,coronavirus
157.337687075,159.506938776,lo tiene el presidente
159.886802721,161.73877551,y también la merkel
162.188480726,164.140408163,lo tiene el coletas
164.610612245,166.001632653,y hasta ese de vox
167.000816327,169.007891156,lo ha pillado el papa
169.369251701,171.598367347,y también la paca
171.80952381,175.084081633,y si te descuidas
175.375238095,179.071020408,tu lo pillaras
