start_time,end_time,lyrics_line
23.368163265,24.415782313,c'était l'hiver
24.626938776,26.390929705,le jour de la sortie scolaire
27.845079365,29.698321995,au musée d'air contemporain
31.80952381,32.914285714,la lutte des classes
32.914285714,35.210884354,pour les professeurs qui menacent
36.620770975,38.34122449,les gamins qui ne contemplent rien
40.973061224,43.127437642,on voyait dans des petites fenêtres
43.743492063,45.017687075,des photos pas très nettes
45.426938776,47.071201814,de l'état de l'air de la planète
49.734240363,51.444897959,des animaux dans des bocaux
51.667301587,53.743673469,des arbres dans des frigos
54.02122449,55.855600907,et puis moi je trouvais ça beau
58.022312925,59.399546485,un guide austère
59.399546485,61.239727891,nous dépeignait l'histoire de l'air
62.399274376,64.702403628,la période bleue la période noire
66.728344671,67.674557823,comme si la planète
67.816780045,70.106848073,était une grande palette
71.087891156,73.653696145,avec le trou de la couche de jaune
75.86829932,77.763628118,on voyait dans des petites fenêtres
78.638730159,79.879183673,des photos pas très nettes
79.986938776,82.275555556,de l'état de l'air de la planète
84.645442177,86.50739229,des animaux dans des bocaux
86.50739229,88.817777778,des arbres dans des frigos
88.817777778,90.855328798,et puis moi je trouvais ça chouette
110.614058957,111.818594104,paraît qu'avant
111.818594104,114.227664399,y'avait de l'air y'avait du vent
115.076281179,117.456689342,de la verdure dans les prairies
119.099501134,120.186485261,oui mais maintenant
120.186485261,122.666666667,la terre le ciel les océans
123.856689342,125.794104308,ils sont tout froid ils sont tout gris
128.262675737,130.140589569,on voyait dans des petites fenêtres
130.969251701,132.107029478,des photos pas très nettes
132.343582766,134.523356009,de l'état de l'air de la planète
137.011882086,138.811791383,des animaux dans des bocaux
138.881451247,141.186031746,des arbres dans des frigos
141.186031746,143.209070295,et puis moi je trouvais ça beau
145.432380952,146.525170068,fin de la visite
146.765714286,148.629478458,on se dirige vers la boutique
150.034285714,152.054421769,du musée d'air contemporain
153.997278912,155.039047619,bouteilles d'eau claire
155.10984127,157.743310658,sachets de terre et bonbonnes d'air
158.86984127,160.624036281,fruits et légumes en parfum
163.168253968,165.035827664,on voyait dans des petites fenêtres
165.86031746,167.14739229,des photos pas très nettes
167.277460317,169.411337868,de l'état de l'air de la planète
171.879183673,173.827482993,des animaux dans des bocaux
173.827482993,176.08707483,des arbres dans des frigos
176.365714286,178.024489796,et puis moi je trouvais ça beau
