start_time,end_time,lyrics_line
22.681179138,25.400453515,par jours de grand vent les ondes brumeuses s'épanchent
25.400453515,28.085714286,agissent comme des cure dents agrafés sur ta tronche
28.159637188,30.680816327,pas un pas pas un geste haut les mains bas les pattes
30.795464853,33.36707483,the anatole's conquest ça tabasse à coups de battes
33.505668934,35.831292517,qsm est puissant pas trop concupiscent
36.128798186,38.630748299,ils n'ont qu'une seule passion la piquette du baron
38.83537415,41.203809524,qsm paye comptant il n'est jamais content
41.458503401,43.929705215,il beugle dissonant et aussi trébuchant
44.110657596,46.585034014,plus tu aimes anatole et plus il te déteste
46.889795918,49.375782313,pire que georges abitbol il te bouffe comme la peste
49.66893424,52.023582766,son courroux éclate plus chaud qu'un panini
52.023582766,54.615873016,la violence du squamate égale sa vilainie
54.615873016,57.458503401,dans un contexte vicié les aristocrates officient
57.458503401,60.076190476,l'ambiance est épicée quand ils vident leurs vessies
60.076190476,62.60244898,c'est la fête des bouchons le royaume des glous glous
62.816870748,65.417142857,l'alcool coule à foison ils le pompent comme des poux
92.19047619,95.888253968,sous ses abords austères du skud sait festoyer
97.492970522,101.053968254,le marquisat prospère dans la rude chaire vitrée
102.811791383,106.453333333,le baron fanfaronne titille la chartreuse
108.146938776,112.477460317,c'est pas qu'elle soit bonne mais qu'est ce qu'elle tape la gueuse
113.551020408,117.003174603,si l'argent n'a pas d'odeur la crasse en a bien une
118.895238095,122.27047619,qsm sent le beurre tartiné sur ta lune
153.594557823,156.817414966,la véranda résonne comme la bande de gaza
158.717460317,162.594829932,les qsm obscènes dégazent comme zavatta
