start_time,end_time,lyrics_line
8.719092971,11.057777778,je me faufile en filature
12.530793651,15.095873016,le long de longues files en attente
16.321632653,19.824761905,non je n'aime pas trop quand ça dure
20.137142857,22.415238095,alors je passe je fraude je tente
23.918367347,27.423492063,première de ma promo j'préfère
27.73478458,30.38984127,derrière moi ça grogne et ça gronde
31.518367347,33.58984127,la haine moi j'en ai rien a faire
35.343310658,37.267301587,ils veulent juste que j'leur réponde
38.639455782,42.674285714,allez offrez vous un peu d'rêve un peu d'rêve
42.968163265,45.953015873,à tous ceux qui ne font plus de trêve
46.326530612,50.173061224,allez allez jetez vous dans l'arène dans l'arène
50.173061224,52.708571429,le roi est mort vive la reine
53.666938776,57.595510204,oh oh chacun est pour l'autre le suivant
58.182857143,63.248253968,personne ne bouge tout l'monde attend oh oh oh oh
62.03755102,65.282857143,marchez vous d'ssus montrez les dents
65.812244898,67.753650794,crachez vous d'ssus l'est encore temps
69.168979592,73.926530612,allez allez allez allez allez allez
84.832653061,87.309206349,ils s'entassent tous en silence
88.659591837,91.255873016,comme des tas de vers de terre
92.478367347,94.811428571,ils ne veulent plus croire en la science
96.285714286,98.199365079,ils ont toujours peur de l'enfer
100.081632653,103.512380952,ils ne connaissent pas leur chance
103.87446712,107.387936508,d'être si à sens unique
107.706122449,110.811428571,jamais ils ne disent ce qu'ils pensent
111.261678005,114.067301587,ils écoutent bien trop la politique
114.860408163,119.014603175,allez offrez vous un peu d'rêve un peu d'rêve
119.167346939,122.204444444,à tous ceux qui ne font plus de trêve
122.494693878,126.222222222,allez allez jetez vous dans l'arène dans l'arène
126.318367347,129.533469388,le roi est mort vive la reine
129.887346939,134.156190476,oh oh chacun est pour l'autre le suivant
134.395102041,139.382857143,personne ne bouge tout l'monde attend oh oh oh oh
138.194285714,141.165714286,marchez vous d'ssus montrez les dents
142.004897959,144.02031746,crachez vous d'ssus il est encore temps
145.417142857,153.163174603,allez allez allez allez
156.208979592,159.278730159,allez allez allez
160.827755102,162.621632653,oh oh oh oh oh oh
162.747755102,164.397278912,oh oh oh oh oh oh
164.663582766,166.289705215,oh oh oh oh oh oh
166.550204082,168.475102041,oh oh oh oh oh oh
168.475102041,170.167437642,oh oh oh oh oh oh
170.383673469,172.153877551,oh oh oh oh oh oh
172.274285714,173.975510204,oh oh oh oh oh oh
174.18122449,176.0769161,oh oh oh oh oh oh
176.311836735,179.855963719,chacun est pour l'autre le suivant
180.124081633,185.498412698,personne ne bouge tout l'monde attend oh oh oh oh
183.920181406,187.431473923,marchez vous d'ssus montrez les dents
187.719183673,189.765079365,crachez vous d'ssus l'est encore temps
