start_time,end_time,lyrics_line
15.258412698,16.751020408,l'homme ne sera jamais libre
17.943945578,18.387301587,pourquoi
21.999455782,24.170340136,comme un loup que l'on assigne à résidence
24.389659864,26.561451247,apaisé vulnérable attendant providence
26.793469388,28.948752834,pour des aigles voraces qui ne voient que pitance
29.193469388,31.412244898,qui ne laisseront que l'os voila ma délivrance
31.570612245,33.753877551,comme un loup que l'on assigne à résidence
33.980408163,36.153877551,apaisé vulnérable attendant providence
36.37877551,38.472562358,pour des aigles voraces qui ne voient que pitance
38.791836735,40.751020408,qui ne laisseront que l'os voila ma délivrance
40.445714286,45.240816327,l'homme est un fauve en cage épris de liberté qui ne rêve qu'à plier bagage et ne jamais se retourner
45.240816327,50.076734694,un chien docile et sage statique comme une image retenu en otage avec pour deal un beau mirage
50.076734694,54.847346939,l'homme tient un faux langage quand il s'agit de s'exprimer il contient toute sa rage avec l'envie de tout briser
54.847346939,57.260408163,c'est la recette du succès les agneaux ne savent pas danser
57.260408163,59.705034014,et les journées qui se succèdent nous en empêcheront d'y penser
60.230204082,62.576326531,a ne plus nourrir ce qu'est essentiel
62.718367347,64.890340136,a mourir au nom de cette essence
65.155918367,67.139047619,a vouloir dominer le ciel
67.139047619,69.881904762,il n'y a que des barreaux pour lesquels nous ne trouveront pas le sommeil
69.961904762,72.130612245,comme des papillons amputés des ailes
72.234920635,74.512108844,comme tous ces humains shootés au diesel
74.749206349,76.739047619,reproduction d'un cycle artificiel
76.739047619,79.303401361,il n'y a que les oiseaux qui peuvent se réveiller au sommet
98.732698413,100.896507937,comme un loup que l'on assigne à résidence
101.107301587,103.288253968,apaisé vulnérable attendant providence
103.514920635,105.656598639,pour des aigles voraces qui ne voient que pitance
105.902222222,108.158548753,qui ne laisseront que l'os voila ma délivrance
108.304761905,110.463129252,comme un loup que l'on assigne à résidence
110.700952381,112.859365079,apaisé vulnérable attendant providence
113.080634921,115.22031746,pour des aigles voraces qui ne voient que pitance
115.507301587,116.999365079,qui ne laisseront que l'os voila ma
116.999365079,119.705396825,l'homme n'est plus un sage un guide parmi les singes
119.705396825,122.447528345,un animal qui vibre au rythme de nombreux messages codés
122.604444444,124.82952381,il se prétend messie dans un monde vicieux
124.986666667,126.732698413,il se sent progressé unique quand il ferme
126.732698413,129.294512472,l'homme est un solitaire actif mais paresseux
129.461587302,131.563174603,il adule les vipères qui se délectent de tous ces vœux
131.563174603,133.784671202,il envie le courage une envie de courir
133.964444444,136.507936508,vers un profond sentiment de construire un monde à son image
136.507936508,136.994829932,alors
137.25968254,139.16031746,plus nourrir ce qu'est essentiel
139.391746032,141.621587302,a mourir au nom de cette essence
141.873015873,143.843809524,a vouloir dominer le ciel
143.843809524,146.535328798,il n'y a que des barreaux pour lesquels nous ne trouveront pas le sommeil
146.690793651,148.871836735,comme des papillons amputés des ailes
148.951111111,151.278004535,comme tous ces humains shootés au diesel
151.514920635,153.447619048,reproduction d'un cycle artificiel
153.447619048,156.255782313,il n'y a que les oiseaux qui peuvent se réveiller au sommet
