start_time,end_time,lyrics_line
29.7795661451,35.352380952,late nights staying up messaging you
36.8181395666,43.148480726,can i express what i'm feeling for you without revealing truths
43.3061088138,46.50521542,i've been thinking about you lately lately
46.8500055492,49.934512472,that's a massive understatement baby
50.3738466372,54.143129252,i can't stop thinking about you all day and all night
55.1102744208,56.552199546,but is it right
58.2380523123,64.127709751,finally figured it out i got my head around it
65.3521875241,71.285260771,although i know i've got to get myself out of this habit
72.7567529745,78.291882086,of falling for someone who's out of reach it's unrealistic
79.5477366216,85.188208617,mr dream won't become a reality but was it meant to be
86.0004734022,89.139183673,i've been thinking about you lately lately
89.4603617612,92.7238322,that's a massive understatement baby
93.0468477313,96.90122449,cause i think about you all day and all night
97.743890657,99.454693878,but is it right
101.1306963387,106.925714286,i don't know but i i know how it feels to me
107.6233797414,113.462857143,maybe you're just playing games a game i don't wanna play
114.6717878817,121.16462585,i don't know but i i know how it feels to me
121.9179027407,128.284444444,maybe you're just playing games a game i don't wanna play
142.8739896063,146.016371882,i've been thinking about you lately lately
146.3479781738,149.629818594,that's a massive understatement baby
149.9606715491,153.787210884,cause i'm thinking about you all day and all night
154.6669083762,156.316734694,but is it right
157.0867087741,160.195918367,i've been thinking about you lately lately
160.6867005956,163.865034014,that's a massive understatement baby
164.1623407421,168.154557823,cause i'm thinking about you all day and all night
168.9247628892,170.396734694,but is it right
