start_time,end_time,lyrics_line
10.573786848,12.068571429,ah no no no
12.50430839,14.563265306,no noo
14.702222222,19.149206349,j'vois pas l'intérêt qu'on s'capte dans la rue si t'es déjà dans ma tête oh
18.189206349,19.445079365,j'connais le vice et la ruse
19.521269841,23.016780045,moi j'voyais personne quand j'avais besoin d'aide ah
22.055873016,23.372698413,tu met d'la haine dans ce coeur
23.372698413,24.228571429,j'en remet dans le cup
24.346666667,29.231746032,plus rien n'peut m'éclaircir ah
25.775238095,27.187664399,j'ai mis des pansements sur nos peurs
27.187664399,28.135782313,mais pas sur nos pleures
28.222040816,29.518367347,comment puis je m'investir
29.608707483,31.2,et j'fais une prière à l'éternel
31.2,34.873469388,j'ai eu plus d'un te trai dans ma vie ah
33.583673469,34.980136054,toi t'était là l'année dernière
34.980136054,38.853514739,c't'année qui vas me souhaiter mon anniv ah
37.400816327,38.717823129,tu met d'la haine dans ce coeur
38.717823129,39.537777778,j'en remet dans le cup
39.636462585,41.78430839,plus rien n'peut m'éclaircir ah
41.175510204,43.462857143,j'ai mis des pansements sur nos peurs sur nos peurs
43.54829932,44.730340136,comment puis je m'investir
44.890340136,49.487528345,et qui effacera mes larmes mes larmes
49.407346939,51.063582766,j'suis bon qu'à effriter
51.30122449,53.063401361,j'fais du cash everyday
52.565079365,57.084081633,et qui effacera mes larmes mes larmes
57.084081633,58.77260771,j'suis bon qu'à effriter
58.983401361,60.763718821,j'fais du cash everyday
60.82829932,62.718911565,les larmes et la haine les larmes
62.718911565,64.539863946,des larmes et la pénombre les larmes
64.589931973,66.432290249,j'veux zapper son prénom les larmes
66.489251701,68.392380952,j'veux zapper son prénom les larmes
68.469115646,70.383673469,des larmes et la haine les larmes
70.383673469,72.254693878,des larmes et la pénombre les larmes
72.254693878,74.089070295,j'veux zapper son prénom les larmes
74.143129252,75.642993197,j'veux zapper son prénom les
75.642993197,77.006077098,encore khabat dans la ville
77.060136054,81.882267574,j'te vois dans la nuit ta éteint cet flamme ah
79.501496599,80.827755102,mais des mec comme moi y'en a mille
80.902312925,81.678367347,pas d'frere pas d'amies
81.678367347,86.575600907,la vie j'vois plus qu'cette femme ah
83.529795918,85.54122449,autour de moi que la misère
85.54122449,87.07292517,trop de questions trop de mystère
87.294693878,88.572517007,ils m'demande pourquoi j'suis sad
88.652335601,89.6,mon cœur il est sale
89.6,91.129614512,on finis par s'y faire
92.616054422,94.226575964,j'regarde la lune
94.506666667,96.078367347,j'prend somnifère
96.478911565,97.93015873,seul quand j'm'allume
98.345578231,99.898049887,seul tous l'hiver
100.390748299,103.706122449,ils rêvent de tous ce qu'il ont pas
104.085986395,108.271020408,seul dans la nuit tu m'repond pas pond pas pond pas
108.271020408,112.686439909,et qui effacera mes larmes mes larmes
112.754285714,114.427936508,j'suis bon qu'à effriter
114.662312925,116.497414966,j'fais du cash everyday
115.919455782,120.389659864,et qui effacera mes larmes mes larmes
120.440816327,122.128253968,j'suis bon qu'à effriter
122.345578231,124.113560091,j'fais du cash everyday
124.171972789,126.075646259,les larmes et la haine les larmes
126.075646259,127.949931973,des larmes et la pénombre les larmes
127.949931973,129.835102041,j'veux zapper son prénom les larmes
129.835102041,131.830204082,j'veux zapper son prénom les larmes
131.830204082,133.72952381,des larmes et la haine les larmes
133.72952381,135.601632653,des larmes et la pénombre les larmes
135.601632653,137.42585034,j'veux zapper son prénom les larmes
137.487891156,139.34122449,j'veux zapper son prénom les larmes
139.395918367,141.682358277,j'veux zapper son prénom les larmes
