start_time,end_time,lyrics_line
13.1351668852,14.73,maybe you hate me
15.7964198629,18.33,but you dress somebody's suit
19.180432296,21.36,because there's no risk
22.218647503,23.22,to put on a mask
25.4693589283,31.32,when we get scared to live
32.0219215013,39.01,with our back with our back
39.0803163673,40.87,maybe you love me
41.7337405744,44.95,but you run under the sun and me under the rain
45.0164101866,47.54,it's so easy
48.170149299,50.78,to lose ourselves
51.4212574511,57.25,when we get scared to love
57.973401085,64.15,with every tear with every fear
64.3637641335,67.39,but you could give me just your money
67.6768162841,70.5389874005,but i wished just your honey
70.5389874005,74.1,i burnt your tshirt that one with bunny
74.1199541504,78.77,and now about you nothing more of funny
84.5135967187,86.88,maybe we'll meet again
87.0981098502,90.36,but this not the right life for us
90.4464787455,93.37,it's so hard
93.6174090223,96.18,to live our love
96.8257596116,101.87,when we get scared to see
103.3954548772,109.15,inside our soul inside our soul
109.8404196397,112.82,but you could give me just your money
113.1476240171,116.00448015,but i wished just your honey
116.00448015,119.33,i burnt your tshirt that one with bunny
119.5838348464,123.21,and now about you nothing more of funny
123.2610295422,126.0559922816,your mind is closed like an aquarium
126.0559922816,129.46,mine completly opened like the colosseum
129.5940892473,135.7,so nothing about idyll between us
135.7834128335,141.21,it's not a wrong accentno no no no no no no no
141.4552793035,145.26,what's wrong is the concept
145.5022608123,148.6858046036,wrong concept to love
148.6858046036,151.98,but you could give me just your money
152.027247583,154.87,but i wished just your honey
154.9474400667,158.14,i burnt your tshirt that one with bunny
158.4961536415,162.0045043323,and now about you nothing more of funny
162.0045043323,164.72,you could give me just your money
165.0155498536,167.79843638,but i wished just your honey
167.79843638,171.2,i burnt your tshirt that one with bunny
171.4416157592,177.92,and now about you nothing more of funny
178.0056480702,184.3,wrong concept wrong concept to love
184.4665559875,193.8,wrong concept
194.1359514451,201.5,to love to love wrong concept
