start_time,end_time,lyrics_line
28.026485261,33.770521542,die welt um mich herum bewegt sich stetig
35.294331066,39.555918367,alles rauscht nur so an mir vorbei
42.481632653,49.362721088,sehe alles nur verschleiert scheint so weit weg doch ist es hier
50.218956916,53.655510204,ich fühle mich hypnotisiert
57.53324263,64.383129252,und von weit entfernt höre ich ein geräusch
64.812698413,70.530612245,ein zarter klang der mein herz erfreut
70.582857143,74.071655329,musik du bist zurück
74.611519274,77.699773243,um mich mit liebe aufzufüllen
78.291882086,84.665759637,um meine seele zu berühren
85.507482993,89.17478458,sind die depressionen auch noch so groß
89.536145125,92.86893424,holst du mich immer wieder raus
93.390657596,99.922721088,gibst mir mut und kraft für jeden neuen tag
100.472743764,103.488435374,wäre ich taub oder wäre ich stumm
104.037006803,107.660770975,hätte ich all diese lieder nie gesungen
108.071473923,115.182585034,hätte ich nicht mal gewusst wie mir jetzt geschieht
115.658594104,119.270748299,musik du bist zurück
119.71047619,123.176054422,um mich mit liebe aufzufüllen
123.454693878,132.260861678,um meine seele zu berühren
161.152290249,167.090793651,die erde kreist und kreist sie dreht sich ewig
169.198004535,173.226666667,alles kommt und zieht vorbei
176.140770975,182.836825397,suche ordnung in dem chaos suche frieden in dem krieg
183.751111111,187.573696145,und wunder mich warum's nicht geht
191.018956916,197.706303855,und von weit entfernt höre ich ein geräusch
198.344852608,204.138231293,ein zarter klang der mein herz erfreut
204.138231293,207.586394558,musik du bist zurück
208.085623583,211.275464853,um mich mit liebe aufzufüllen
211.754376417,218.343038549,um meine seele zu berühren
218.882902494,222.484897959,sind die depressionen auch noch so groß
222.847709751,226.324897959,holst du mich immer wieder raus
226.766077098,233.004988662,gibst mir mut und kraft für jeden neuen tag
233.703038549,237.010430839,wäre ich taub oder wäre ich stumm
237.319546485,240.756099773,hätte ich all diese lieder nie gesungen
241.16244898,248.096507937,hätte ich nicht mal gewusst wie mir jetzt geschieht
248.598639456,251.966984127,musik du bist zurück
252.580861678,255.938321995,um mich mit liebe aufzufüllen
256.30185941,264.558730159,um meine seele zu berühren
