start_time,end_time,lyrics_line
18.27845805,22.086530612,la terre est ma plus jeune enfant
22.650340136,26.187755102,je suis la mère de tous les océans
27.027664399,30.654693878,quand je m'énerve deux ou trois volcans
31.326984127,35.282721088,un petit déluge et un tremblement
35.763809524,39.814965986,je ne peux pas dire que la vie m'est dure
40.106666667,44.151292517,j'vais pas te faire une gueule d'atmosphère
45.576417234,49.74585034,je suis là je suis la mère nature
49.906575964,54.27845805,j'en suis là je suis la terre mature
54.27845805,58.635827664,je n'suis pas de bonne augure c'est sûr
58.635827664,64.700952381,j'en suis las de toute ta pourriture
66.318367347,69.864489796,j'ai bien envie de me couler un bain
70.663038549,74.157278912,prend ta combi' ton masque et tuba
75.034920635,78.367346939,apres j'irai me dorer la pilule
79.370521542,83.369795918,prend tes lunettes ta casquette et ton pull
83.765986395,87.33170068,des fois que je change d'avis
88.112471655,92.59537415,j'prévois jamais toutes mes envies
93.563718821,97.793741497,je suis là je suis la mère nature
97.904761905,102.283900227,j'en suis là je suis la terre mature
102.283900227,106.487528345,je n'suis pas de bonne augure c'est sûr
106.619501134,113.066666667,j'en suis las de toute ta pourriture
114.341950113,117.838367347,j'aime trop la vie pour te laisser mourir
118.641269841,122.540408163,j'aime trop la mort pour te laisser sourire
123.049433107,126.437006803,même si je te le laisse celui là
127.366530612,131.731156463,fais attention à celui qui va là
132.819954649,137.179138322,je suis là je suis la mère nature
137.179138322,141.444353741,j'en suis là je suis la terre mature
141.578231293,145.944671202,je n'suis pas de bonne augure c'est sûr
145.944671202,150.285714286,j'en suis las de toute ta pourriture
150.285714286,154.483809524,je suis là je suis la mère mature
154.653968254,158.876734694,j'en suis là j'essuie ta pourriture
159.018594104,163.252244898,j'y suis là j'efface tes ratures
163.379591837,169.894603175,je suis las d'être ta mère nature
204.819954649,209.030385488,je suis la mère nature
209.18276644,213.569160998,tu es ma pourriture
213.569160998,217.741496599,je suis la mère nature
217.917460317,222.679365079,tu es ma pourriture
