start_time,end_time,lyrics_line
11.554829932,15.023310658,que dit on d'une poignée de mains
17.149387755,20.439365079,laquelle vais je serrer demain
22.729795918,26.110839002,jeu de mains jeu de vilain
28.382040816,32.595011338,un dicton bien corolaire
33.956281179,37.482811791,mieux vaut une rime populaire
39.598730159,43.167346939,jeu de mains jeu de malin
50.854603175,54.341950113,que pense t on d'une poignée de mains
56.418684807,59.863945578,qu'elle indiffère souvent sans doute
62.020498866,65.313378685,mais que rarement elle envoûte
67.658956916,71.031292517,quelquefois rêche elle déroute
73.257142857,76.575056689,quelquefois moite elle dégoûte
78.928253968,82.249433107,j'ai deux mains j'ai du dédain
90.126077098,93.503854875,cependant une poignée de mains
95.712653061,99.11292517,peut apporter par sa décence
101.305759637,104.85260771,une plus noble concupiscence
106.91047619,110.439909297,qu'un baiser qui d'évidence
112.55292517,116.172335601,lui oppose son éloquence
118.210612245,121.544852608,jeu de mains jeu de câlin
129.410612245,133.061950113,il arrive qu'une poignée de mains
134.996825397,138.332879819,soit si chère tellement espérée
140.561269841,143.928888889,intimement escompté
146.250884354,150.105396825,le passage d'un fluide discret
151.893333333,155.202176871,communion inexpliquée
157.509659864,161.401904762,jeu de mains visage carmin
168.740136054,171.978594104,prise de conscience qu'une prise de main
174.309297052,177.609433107,apporte une futile confusion
179.885714286,183.553741497,offre une furtive possession
185.58185941,189.718639456,fait de cette approche tactile
191.187301587,194.548390023,une confrontation subtile
196.81814059,200.291428571,jeu de main rapport humain
