start_time,end_time,lyrics_line
24.119727891,33.613061224,a menos de medio metro de ti no encuentro las palabras y ya no sé que decir
35.584580499,44.923356009,largas ausencias de conversacion cortes e interferencias en la comunicacion
47.002993197,53.507482993,soy un orador silenciado un poliglota en el paro
53.77015873,58.058594104,censurado por las leyes de la soledad
58.40399093,67.500408163,un profeta que ha perdido palabras en el cajon del olvido
67.726802721,72.669750567,y quién sabe si algun dia volveran
73.433106576,78.113378685,y quién sabe si algun dia volveran
99.81968254,109.465396825,tu musa de mi desesperacion eres protagonista en una peli de accion
110.784580499,115.646984127,y yo en opuesta contraposicion
115.911111111,120.944761905,soy un monje budista en plena meditacion
122.710204082,130.093424036,coje mi silencio tomalo yo te ofrezco la bebida del desierto
130.093424036,133.765079365,el desconcierto del mundo interior
134.13877551,141.855782313,ya sé qué es dificil para ti pero no hay otro remedio lo comprendo
141.855782313,147.481723356,si te entiendo por qué tu no a mi
148.415419501,155.083900227,soy un orador silenciado un poliglota en el paro
155.261678005,159.464852608,censurado por las leyes de la soledad
159.869387755,168.96,un profeta que ha perdido palabras en el cajon del olvido
169.165351474,172.222403628,y quién sabe si algun dia
172.683900227,179.260952381,soy un orador silenciado un poliglota en el paro
179.512018141,183.783038549,censurado por las leyes de la soledad
184.141496599,193.340952381,un profeta que ha perdido palabras en el cajon del olvido
193.469387755,198.188117914,y quién sabe si algun dia volveran
199.151020408,203.943764172,y quién sabe si algun dia volveran
204.419047619,209.293061224,y quién sabe si algun dia volveran
