start_time,end_time,lyrics_line
16.782222222,23.623401361,allez tournes tournes autant qu'il est possible de tourner
25.103673469,31.791746032,comme si le sol était brulant comme si tu voulais t'envoler
33.204897959,40.035555556,allez danse danse pour moi danse à faire pâlir la nuit
41.376326531,49.010793651,allez danse une dernière fois danse jusqu'au bout de l'envie
49.95047619,52.77968254,y'a pas que tes pas qui m'inspire
54.432653061,56.675555556,belle j'ai vu des démons dans tes hanches
57.934693878,60.81015873,qui roule qui se cambre et se penchent
62.623673469,65.13015873,comme un danger qui m'attire
66.040816327,73.097142857,allez bouges bouges encore bouges tant que tu le peux
74.525714286,81.094603175,serpente ondule sans effort sans effort y'a personne qui ne le fait mieux
82.393469388,89.485714286,allez allumes les interdits rouge la lune dans tes danses
90.737959184,98.476190476,dans tes reins glisse ma folie dans chacun de tes pas une transe
99.213061224,102.041904762,y'a pas que tes pas qui m'inspire
103.671292517,105.92,belle j'ai vu des démons dans tes hanches
107.177142857,110.08,qui roule qui se cambre et se penchent
111.911473923,114.329251701,comme un danger qui m'attire
117.689795918,120.594285714,y'a pas que tes pas qui m'inspire
123.575510204,126.502312925,qui roule qui se cambre et se penchent
128.326530612,131.207256236,comme un danger qui m'attire
140.093061224,143.949206349,surtout t'arrêtes pas tu sais que tout s'envolerait pour moi
144.592653061,147.642630385,t'es comme un soleil en été le monde tourne autour de toi
148.403265306,152.322902494,le jour la pluie les marais les saisons de chaud ou de froid
152.775510204,158.773696145,les guerres les paix les traités y'a le monde qui tourne et puis toi
164.862040816,167.888253968,y'a pas que tes pas qui m'inspire
169.340226757,171.577324263,belle j'ai vu des démons dans tes hanches
172.806530612,175.677097506,qui roule qui se cambre et se penchent
177.560816327,180.201360544,comme un danger qui m'attire
181.248979592,184.065306122,y'a pas que tes pas qui m'inspire
185.728979592,187.994557823,belle j'ai vu des démons dans tes hanches
189.209795918,192.076190476,qui roule qui se cambre et se penchent
193.964081633,196.636734694,comme un danger qui m'attire
