start_time,end_time,lyrics_line
24.64,28.943673469,pluie pluie d'entre deux saisons
30.105396825,32.740136054,s'aimer perdre raison
34.09015873,37.151927438,partir tourner en rond
38.107936508,40.901950113,partir tourner en rond
42.153650794,45.313741497,s'allonger sur le sable
46.125714286,49.005714286,désir incontrôlable
50.102857143,53.173696145,sensation ineffable
54.118095238,56.642539683,sensation ineffable
56.642539683,62.066938776,ah ahha ah ah
64.61968254,70.600272109,ah ahha ah ah
80.64,84.81814059,lire dans ton coeur grand ouvert
86.146031746,88.85260771,briser mes liens de verre
90.148571429,92.756462585,mentir prendre la mer
94.10031746,96.655238095,partir prendre la mer
96.655238095,101.021315193,froid comme l'hiver loin de toi
102.115555556,104.881632653,sourire avec effroi
106.115555556,109.119274376,caresse du bout des doigts
110.11047619,112.599365079,caresse du bout des doigts
112.599365079,118.298412698,ah ahha ah ah
120.622585034,126.628571429,ah ahha ah ah
136.612063492,140.669387755,luit le soleil de ma vie
142.097777778,144.835918367,altérées mes envies
146.052063492,148.911020408,un jour changer de vie
150.072380952,152.568163265,un jour changer ma vie
152.685714286,157.17877551,seule du haut de ta falaise
158.097777778,160.809795918,tour de papier en glaise
162.158730159,165.224489796,tu fermes la parenthèse
166.148571429,169.247346939,tu fermes ma parenthèse
168.642902494,174.275918367,ah ahha ah ah
176.667936508,182.608979592,ah ahha ah ah
184.60952381,190.497959184,ah ahha ah ah
192.642539683,198.125714286,ah ahha ah ah
