start_time,end_time,lyrics_line
51.1984419551,55.666938776,now that i have found you i'm okay
57.1673269593,62.16707483,but the people that surround you act strange
64.0067849049,68.440816327,will we ever fold up don't say
70.4015033006,74.861133787,maybe just a heads up is ok
89.5637955298,94.196825397,when i am in focus i seem blind
96.0041728901,100.708571429,i can barely notice the time
102.4031489786,107.616507937,who can i believe in if not you
108.8301886652,113.203809524,you're the only reason i'm true
115.2082390642,121.4921016692,aw ah aw
121.4921016692,127.9280219744,ah aw
127.9280219744,134.0587622999,aw ah aw ah
134.0587622999,140.723809524,aw ah aw aw ah
142.0282621089,144.802539683,i've thought enough
145.0497291413,147.912335601,should i turn this around
148.3482871855,151.4845648674,is this a bluff
151.4845648674,154.300952381,should i really make a sound
154.7694356258,157.4007290402,am i alright
157.4007290402,161.239365079,or am i steering out of sight
172.8355583684,182.6715034059,aw ah aw ah aw aw ah
182.6715034059,191.094421769,aw ah aw ah aw aw ah
