start_time,end_time,lyrics_line
10.1839201482,14.53569161,keep on working on your dreams and don't run away
19.5218163197,23.64952381,keep on following your dreams and don't go astray
28.4551096505,32.072562358,we searching everywhere for the peace of mind
37.9040881741,41.639183673,it's already there but we can not find
46.4487583151,50.712380952,i keep struggling for my life but i'm a strong man today
55.6054873541,59.921995465,i keep fighting for my rights so much songs to play
65.2625377568,66.612244898,so many problems
67.531316109,69.400816327,so many close friends
69.8949127256,71.693061224,and when it's gonna rain
72.1801864334,73.436734694,how many gonna stand
74.4298371449,75.709387755,so many problems
76.691752229,78.537142857,so many close friends
79.0344580854,80.809795918,and when it's gonna rain
81.3608949619,82.44244898,how many gonna stand
92.487911356,97.001360544,keep on working on your dreams and don't runaway
101.8822992229,105.874285714,keep on following your dreams and don't go astray
111.2373272481,114.358276644,sit back and watch what happens those days
120.1715676588,124.408163265,how can i relax for the children of today
129.0613877169,132.571428571,we're smart enough to find our own line
138.467108799,142.184489796,we make art and stuff but they just stay blind
147.5457751918,148.919727891,so many problems
149.814953282,151.720634921,so many close friends
152.186790707,153.977324263,and when it's gonna rain
154.4896181647,155.61723356,how many gonna stand
156.7247733149,160.83446712,so many problems so many close friends
161.3420475929,163.120181406,and when it's gonna rain
163.6205465473,164.73106576,how many gonna stand
