start_time,end_time,lyrics_line
21.387755102,25.968253968,ver que otro dia cae que ya no veo esperanza y abunda el desastre
26.047346939,29.198367347,solo tengo fe en que el sueño que profeso se cumpla
29.198367347,32.551020408,y en el rincon mas alejado oigan el retumbar de bombos
32.715102041,37.038367347,cajas y voces llevando este mensaje de querer es poder
37.201632653,39.758730159,la magia del sonido nos hara comprender
39.872653061,42.454421769,que no hay mañana sin esa ilusion por creer
42.543673469,44.734693878,no hay nada que detenga ya tus pasos
45.214693878,48.618231293,los brazos en alto el temor a un lado amor como aliado
49.214693878,53.285714286,porque de ti depende que se cumpla nublan las excusas escucha
53.534693878,55.782857143,porque la vida no te dira que hacer
55.875918367,58.374693878,perderte en las cenizas de un pasado es perder
58.540408163,59.38122449,el tiempo
59.921632653,63.79755102,aleja a los fantasmas es momento de actuar cree en ti primero
63.879183673,65.547755102,no todo sera siempre oscuridad
65.711020408,66.499591837,quiero y puedo
66.56,69.173877551,la vida es una sola vuelve a comenzar dilo
69.375419501,73.967346939,quiero y puedo quiero y puedo quiero y voy a tenerlo
74.224036281,76.444081633,eres el dueño de tu voluntad
76.368979592,77.217959184,quiero y puedo
77.217959184,79.889795918,la ley esta en tus manos intenta pensar dilo
80.062040816,84.713469388,quiero y puedo quiero y puedo quiero y me lo merezco
85.241904762,87.711020408,merezco ser el dueño del camino y te digo
87.88244898,90.902857143,amigo mi destino esta esculpido en el monte del olvido
90.987755102,95.683265306,desde que era un niño he creido ser capaz de alcanzar lo que he querido y aqui sigo
95.94122449,98.393650794,camino bien erguido a pesar de lo vivido
98.56,101.073197279,jamas me he rendido porque sé que hay mil motivos
101.252063492,106.376417234,que nadie impedira que alcancemos objetivos por mucho que lo intenten si he querido yo he podido
106.376417234,108.966530612,y he podido porque la fuerza esta conmigo
109.035102041,112.091428571,aunque digan que yo no puedo llegar yo les digo no
112.267755102,113.94122449,es el camino que yo elijo
114.220408163,119.885714286,con altibajos que marcaron lo que fui y lo que soy hoy es mirar hacia adelante
119.938321995,121.574603175,jugar todas las cartas y arriesgar
121.574603175,125.044897959,después es tarde arrepentirse nunca vale
125.224489796,127.827664399,no todo es gris cuesta aceptarlo pero hay que
127.905668934,129.58185941,no todo sera siempre oscuridad
129.694331066,130.492517007,quiero y puedo
130.550566893,133.204081633,la vida es una sola vuelve a comenzar dilo
133.371428571,137.973061224,quiero y puedo quiero y puedo quiero y voy a tenerlo
138.223673469,140.498866213,eres el dueño de tu voluntad
140.368979592,141.244081633,quiero y puedo
141.244081633,143.870204082,la ley esta en tus manos intenta pensar dilo
144.035918367,148.718367347,quiero y puedo quiero y puedo quiero y me lo merezco
149.044897959,152.816326531,alejado de un trabajo habitual que ensombrezca mi energia vital
152.934240363,157.543764172,quiero hacer rap para evitar que se mueran mi ganas de gritar cuando todo esta mal
157.543764172,159.749659864,hay que escapar y regresar al equilibrio
159.889342404,162.440816327,buscar un nuevo brillo y la ilusion de cuando niños
162.550566893,165.087346939,las ganas de vivir y de aprender que ya perdimos
165.222675737,167.78122449,yo lo hago con pasion encerrada entre estribillos
167.887528345,170.338321995,tu encuentra tu lugar en este mundo en que vivimos
170.338321995,172.945124717,porque no hay quien me diga lo que tengo que hacer
172.945124717,175.688163265,si yo he querido crecer y me olvidado del ayer
175.93106576,179.570068027,el rap es el camino que he elegido amateur para hacerte perder
179.570068027,180.898866213,el miedo a lo que hay que ver
181.015873016,183.606349206,que la vida es tan corta asi que vamos despierta
183.606349206,185.643537415,olvida lo que no importa invierte el tiempo
185.643537415,188.848979592,y la fuerza en todo lo que te aporta y te merezca la pena
189.046712018,191.647346939,lo que te haga feliz y te recorra las venas
191.867573696,193.596734694,no todo sera siempre oscuridad
193.708843537,194.481632653,quiero y puedo
194.554195011,197.211791383,la vida es una sola vuelve a comenzar dilo
197.382312925,201.970612245,quiero y puedo quiero y puedo quiero y voy a tenerlo
202.178684807,204.38276644,eres el dueño de tu voluntad
204.38276644,205.127891156,quiero y puedo
205.213605442,207.936326531,la ley esta en tus manos intenta pensar dilo
208.074376417,212.852244898,quiero y puedo quiero y puedo quiero y me lo merezco
213.190022676,214.958730159,no todo sera siempre oscuridad
214.958730159,215.887528345,quiero y puedo
215.887528345,218.549659864,la vida es una sola vuelve a comenzar dilo
218.715646259,223.294331066,quiero y puedo quiero y puedo quiero y voy a tenerlo
223.546485261,225.70521542,eres el dueño de tu voluntad
225.70521542,226.550566893,quiero y puedo
226.550566893,229.213605442,la ley esta en tus manos intenta pensar dilo
229.378684807,234.359183673,quiero y puedo quiero y puedo quiero y me lo merezco
